,2021-12-30,消息称华润微 12 英寸先进功率半导体晶圆生产线项目有望于明年建成投产,中电网
0,2021-12-30,第三代半导体行业产业链全景梳理及区域热力地图,ZAKER
1,2021-12-30,华润微(688396)重大事项点评：股权激励彰显发展信心 覆盖广泛利于激发员工积极性,新浪
2,2021-12-28,华润微：近期公司发布了1200V SiC MOSFET新品，该产品尚未进行量产和销售,每日经济新闻
3,2021-12-28,华润微：公司的传感器、半导体及智控产品有应用于互联网,Wind
4,2021-12-28,11股获券商买入评级，恒生电子目标涨幅达45.71%,Wind
5,2021-12-27,民生证券：给予华润微买入评级,证券之星
6,2021-12-27,民生证券维持华润微推荐评级：广覆盖、明目标，助力公司成长,每日经济新闻
7,2021-12-26,华润微：汽车电子市场广阔，功率龙头欲发力第三代半导体,每日经济新闻
8,2021-12-26,国联证券：给予华润微买入评级，目标价位76.17元,证券之星
9,2021-12-24,华润微(688396.SH)拟推2021年第二类限制性股票激励计划 授予价为34.1元/股,智通财经
10,2021-12-23,国内SiC MOSFET再添猛将！车规功率器件应用落地,中自网
11,2021-12-22,A股资金流向：热门股大面积退潮，消费电子转型预期获资金关注,Wind
12,2021-12-21,东方财富证券给予华润微增持评级：SiC新品推出，丰富产品线,每日经济新闻
13,2021-12-21,东方财富证券：给予华润微增持评级,证券之星
14,2021-12-20,小K播早报|深圳氢能产业发展规划出炉 商汤科技重新启动公开招股,财联社
15,2021-12-18,华润微发布SiC MOSFET新品,财联社
16,2021-12-17,功率半导体龙头竞逐碳化硅，华润微发布SiC新品剑指百亿市场,凤凰网
17,2021-12-17,A股资金流向：成长、权重双双熄火，低价股抱团逻辑仍在演绎,Wind
18,2021-12-17,大基金出手！芯片大牛股大涨8%,Wind
19,2021-12-16,功率半导体企业华瑞微获B轮和B+轮3亿元融资，产业投资方为芯朋微、活水资本等，老股东毅达资本和浦高产投加投,猎云网
20,2021-12-15,华润微现1笔大宗交易 共成交335.64万元,新浪
21,2021-12-15,华润微今日大宗交易成交6万股，成交价55.94元折价17.37%,Wind
22,2021-12-14,A股主力资金流向：净流出额创一个半月新高，新能源、周期股集体遭抛售,Wind
23,2021-12-14,电子行业2022年度策略报告：半导体国产替代进程深化 汽车电子引领需求增长,新浪
24,2021-12-13,高额举债又无息或低息借出资金原因几何？龙腾股份冲刺科创板IPO二轮问询这样解答,资本邦
25,2021-12-10,华润微：摩根大通证券、Aia Group-Hong Kong等17家机构于11月12日调研我司,证券之星
26,2021-12-09,汽车功率：新能源与半导体的黄金交叉,第一财经
27,2021-12-09,A股资金流向：金融、消费持续回暖，外资助推风格切换,Wind
28,2021-12-09,华润微：公司今年已实现SiC二极管的销售突破，即将推出SiCMOS产品,Wind
29,2021-12-09,华润微：公司对现有八吋线的产能会进行有序扩充，预计公司12吋产线将于明年下半年释放产能,Wind
30,2021-12-09,华润微：公司目前库存整体处于健康水平，和往年平均数据相比仍处于低位,Wind
31,2021-12-09,华润微：2022年公司IGBT领域会有显著增长,Wind
32,2021-12-09,华润微：公司有参股SiC衬底和外延的相关企业,Wind
33,2021-12-09,华润微：副总裁张小键退休 董监高成员变化,Wind
34,2021-12-09,华润微：在手订单饱满，预计12寸产线明年下半年释放产能,Ofweek
35,2021-12-09,华润微接受33家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
36,2021-12-09,由于芯片产能紧张 比亚迪向士兰微、华润微、斯达半导等下达车规级IGBT订单,财经网
37,2021-12-09,士兰微车规级IGBT获比亚迪亿元级订单，看中IDM模式及产能，斯达半导、时代电气、华润微等也获订单,财联社
38,2021-12-09,比亚迪向士兰微、华润微、斯达半导、时代电气等下达车规级IGBT订单,36氪
39,2021-12-09,独家|比亚迪向士兰微、华润微、斯达半导、时代电气等下达车规级IGBT订单,财联社
40,2021-12-08,电子行业2022年投资策略：半导体创新与国产化并重 汽车、VR／AR空间广阔,新浪
41,2021-12-08,【电子】电子行业2022年度策略—产业向新常态回归，聚焦高成长赛道,中银证券研究
42,2021-12-08,中国车规IGBT企业的野心、行动、图谋与布局,钛媒体
43,2021-12-07,A股资金流向：赛道股再度下杀，资金进驻价值蓝筹,Wind
44,2021-12-07,降准兑现，地产股逆势走强！但它们缘何集体降温？,Wind
45,2021-12-06,电子元器件周报：智能手机出货量逐步回暖 折叠屏引领消费电子新方向,新浪
46,2021-12-06,A股资金流向：新能源再遭集中抛售，大金融成“避风港”,Wind
47,2021-12-06,第三代半导体概念午后持续下行,Wind
48,2021-12-06,大基金减持叠加股价波动加剧 华润微卡位第三代半导体成效待考 减持股份,投资者网
49,2021-12-03,A股资金流向：权重发力助推沪指，短线情绪退潮,Wind
50,2021-12-03,半导体产业链表现不俗,Wind
51,2021-12-02,华润微现1笔大宗交易 共成交742.48万元,新浪
52,2021-12-02,华润微今日大宗交易成交10.36万股，成交价71.68元溢价1.24%,Wind
53,2021-12-02,A股资金流向：低位低价成短线核心，赛道股分歧加剧,Wind
54,2021-12-01,A股资金流向：主线不明题材股炒作继续，资金挖掘低位补涨,Wind
55,2021-12-01,奥特维(688516)：收获蜂巢能源1.3亿元订单 锂电优质客户订单放量强化平台化布局,新浪
56,2021-12-01,奥特维(688516)：半导体键合机首批订单落地 静待大客户订单放量,新浪
57,2021-11-29,科技硬件周报：功率半导体高景气度有望延续、关注5G+AIOT投资机遇,新浪
58,2021-11-29,士兰微等3家芯片股调入上证180 “硬科技”更值期待,证券时报网
59,2021-11-29,小K播早报|奥密克戎变异病毒侵扰全球 多家科创板公司透露相关产品布局,财联社
60,2021-11-29,多个指数迎重磅调整！科创板公司大幅增加，这些股票即将调入！,Wind
61,2021-11-27,涉及超5500亿规模基金！新一轮指数样本大调整出炉,Wind
62,2021-11-26,中芯国际、华润微等5只科创板股票纳入上证180,财联社
63,2021-11-26,上证50等系列指数进行定期调样，新经济和先进制造业样本增多,Wind
64,2021-11-26,华润微：公司不涉及EDA设计软件开发,Wind
65,2021-11-26,华润微：公司不涉及EDA设计软件开发,每日经济新闻
66,2021-11-26,A股资金流向：沪指“以缺补缺”，权重低迷题材脉冲回落,Wind
67,2021-11-26,一周研读：围绕“三个低位”布局蓝筹,新浪
68,2021-11-25,深度*行业*电子行业周报：TI宣布新厂建设计划 联发科发布4NM处理器,新浪
69,2021-11-23,华润微：晶圆代工持续景气,半导体风向标
70,2021-11-23,【焦点】连续大涨！股价创新高，“次新股”时代电气（688187.SH）一路飞奔,财华社
71,2021-11-23,电子元器件周报：晶圆代工持续高景气 MINILED产业化进程加速,新浪
72,2021-11-23,A股资金流向：板块分化明显，“锂风光”休整储能接棒,Wind
73,2021-11-23,深度*行业*半导体行业周报：思瑞浦发布数字隔离产品 FPGA安路科技上市,新浪
74,2021-11-22,A股资金流向：赛道股爆发重回主线，风格切换苗头显露,Wind
75,2021-11-22,科技硬件周报：AIOT产业加速 CMP材料与设备受关注,新浪
76,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇、刘格菘…顶流们都来了,Wind
77,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇等顶流们都来了,Wind
78,2021-11-19,"华润微现1笔大宗交易 共成交2,322.00万元",新浪
79,2021-11-19,华润微今日大宗交易成交45万股，成交价51.6元折价20.86%,Wind
80,2021-11-19,华润微：公司按计划推进12寸线建设项目，预计将于2022年开始逐步贡献产能。公司正在积极推进股权激励的落地,每日经济新闻
81,2021-11-19,华润微：公司Sic二极管产品已量产并产生销售收入,每日经济新闻
82,2021-11-19,华润微：公司预计将于今年内发布SiC MOSFET产品,每日经济新闻
83,2021-11-19,华润微：公司目前在手订单饱满,每日经济新闻
84,2021-11-18,A股资金流向：题材快速切换，新能源内部分化,Wind
85,2021-11-18,深度*行业*电子行业周报：代工双雄营收创新高 英伟达更新OMNIVERSE,新浪
86,2021-11-18,股票发行注册制改革在江苏成果显著,Wind
87,2021-11-17,A股资金流向：赛道股集体反弹，资金抢筹新能源龙头,Wind
88,2021-11-16,A股资金流向：新能源连跌资金持续流出，大消费力扛指数,Wind
89,2021-11-16,华润微：公司部分MOSFET和IGBT产品已经应用在汽车领域,Wind
90,2021-11-15,华润微：今年推出IGBT模块产品 2022年IGBT领域会有显著增长,e公司
91,2021-11-15,华润微：预计12寸线明年下半年可以贡献产能,e公司
92,2021-11-15,华润微接受121家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
93,2021-11-15,A股资金流向：新能源遭资金集中抛售,Wind
94,2021-11-15,电子元器件行业周报：晶圆代工三季度高景气 持续推荐半导体设备材料,新浪
95,2021-11-15,至纯科技：今年半导体设备营收或翻两倍，大基金何以青睐它？,第一财经
96,2021-11-15,科技硬件周报：半导体板块高景气度延续、关注5G+AIOT新机遇,新浪
97,2021-11-12,【焦点】大基金又减持！半导体巨头华润微（688396.SH）大跌6.13%！ 减持股份,财华社
98,2021-11-12,A股资金流向：权重股回调，题材炒作继续升温,Wind
99,2021-11-12,股市动态 | 北斗星通、华润微、长川科技同时遭大基金减持，华润微上午跌超6% 减持股份,财经网
100,2021-11-12,电子行业周报：消费电子估值显现吸引力,新浪
101,2021-11-12,华润微：融资余额比上日增1.84%，融券余额比上日增5.44%,资本邦
102,2021-11-12,A股异动 | 华润微(688396.SH)跌约5% 大基金拟减持不超1%股份 拟减持股份,格隆汇
103,2021-11-12,国家大基金又减持3家公司，大基金二期布局已在路上 减持股份,资本邦
104,2021-11-12,2300亿中芯国际突发“大地震”，国家大基金减持三只科技股,Wind
105,2021-11-12,国家大基金拟减持，北斗星通、华润微低开，长川科技高开 拟减持股份,金融界
106,2021-11-12,什么信号！大基金出手，密集减持3家公司，近千亿巨头也在列…大基金二期却持续加码布局 减持股份,证券时报
107,2021-11-12,"大基金加速""收网""，一晚减持3家公司！战略性转移？二期资金加速布局这些个股 减持股份",券商中国
108,2021-11-12,11月12日投资避雷针：大基金拟减持北斗星通、长川科技、华润微公司股份 拟减持股份,财联社
109,2021-11-12,华润微：大基金拟减持不超1320万股公司股份 拟减持股份,中国经济网
110,2021-11-12,深夜重磅！中芯国际75岁副董事长辞职，上任不满1年！国家大基金出手，一把减持三只科技股！发生了什么？ 董监高成员变化,每日经济新闻
111,2021-11-12,国家大基金又减持！大基金二期风格有变？,Wind
112,2021-11-12,"深夜重磅！刚刚，2300亿中芯国际突发“大地震”，交易所急发监管函！提前跳水！国家大基金又出手，一把减持三只科技股！发生了什么？
问询",中国基金报
113,2021-11-11,【晚间公告抢先看】四维图新与沃尔沃汽车签署车联网采购框架协议、风语筑在元宇宙赛道布局处于探索尝试阶段,金融界
114,2021-11-11,晚间重要公告2021年11月11日星期四,Wind
115,2021-11-11,晚间公告｜11月11日这些公告有看头,第一财经
116,2021-11-11,华润微(688396.SH)：大基金拟减持不超1%股份 当前持股5.92% 拟减持股份,智通财经
117,2021-11-11,华润微：大基金拟减持不超1%公司股份 拟减持股份,金融界
118,2021-11-11,华润微：大基金拟3个月内减持不超1%股份 拟减持股份,Wind
119,2021-11-11,A股资金流向：权重与题材共振上扬,Wind
120,2021-11-10,国内财经媒体头版2021年11月10日星期三,Wind
121,2021-11-10,科创引擎跑出“加速度” 硬科技助力高质量发展,证券时报
122,2021-11-09,华润微11月9日大宗交易成交4613.43万元,证券时报网
123,2021-11-09,"华润微现1笔大宗交易 共成交4,613.43万元",新浪
124,2021-11-09,华润微今日大宗交易成交68.13万股，成交价67.72元溢价0.0%,Wind
125,2021-11-09,科创板持续助力科技创新“开花结果”,Wind
126,2021-11-08,电子元器件周报：晶圆代工产值与资本开支同增长 半导体行业景气度持续,新浪
127,2021-11-08,A股资金流向：机构青睐新能源，游资炒作元宇宙,Wind
128,2021-11-06,功率半导体业绩集体爆发 千亿赛道迎扩产潮,腾讯网
129,2021-11-05,华润微：公司有部分IGBT产品应用在汽车领域,每日经济新闻
130,2021-11-05,除了华天科技，国家大基金二期还买了什么？,Wind
131,2021-11-05,美股半导体集体飙涨，A股信号不断，半导体行情如何走,Wind
132,2021-11-05,大基金又有大动作，11亿狂买芯片龙头，四季度半导体还能加仓吗？,第一财经
133,2021-11-05,科创板公司彰显科创实力 多个项目获国家级科技大奖,中证网
134,2021-11-05,美股半导体集体飙涨，1.1万亿巨头一度涨超15%,Wind
135,2021-11-04,A股资金流向：新能源、白酒集体获资金抢筹，比亚迪净流入超14亿,Wind
136,2021-11-04,大基金动向曝光：超8成持仓股遭减持、加码芯片龙头,Wind
137,2021-11-03,【华西电子-新能源芯*超80页PPT深度】乘碳中和之风，基础元件腾飞,远峰电子
138,2021-11-03,大基金持仓明细曝光，加码芯片设备龙头，超八成遭遇减持。北交所开市在即，精选层大活跃 减持股份,新浪
139,2021-11-03,A股资金流向：资金高位出逃新能源，隆基股份净卖出超18亿,Wind
140,2021-11-03,国联证券：给予华润微增持评级,证券之星
141,2021-11-03,华润微CEO李虹：预计下个月发布第三代半导体的SiC MOSFET产品,财联社
142,2021-11-02,A股资金流向：主要行业主力资金悉数出逃，光伏股遭大幅抛售,Wind
143,2021-11-02,科创板前三季营收净利齐增，研发投入接近2020全年水平,第一财经
144,2021-11-02,晶圆吃紧！1500亿巨头遭疯狂下单，股价暴拉20%,Wind
145,2021-11-01,上交所：前三季度科创板上市公司总体业绩保持较快增长,Wind
146,2021-11-01,A股资金流向：新能源板块冲高回落，资金分歧较大,Wind
147,2021-10-29,和讯SGI公司|华润微SGI指数最新评分85分，核心技术人员的离职，导致项目延期？ 员工变动,和讯
148,2021-10-29,华润微：润西微已经开始建设，将从2022年开始逐步贡献产能,每日经济新闻
149,2021-10-29,A股资金流向：主线和题材共振反弹，宁王、隆基联手爆发,Wind
150,2021-10-29,华润微：公司今年第三季度管理费用增长的主要因素是调整了员工薪酬,每日经济新闻
151,2021-10-29,华润微：公司有产品应用在光伏和储能领域，近年来出货增速较快,每日经济新闻
152,2021-10-29,国海证券维持华润微买入评级，三季报点评：2021Q3符合预期，晶圆代工+IDM双龙头快速成长,每日经济新闻
153,2021-10-28,A股资金流向：周期股下挫，新能源板块出现剧烈分歧,Wind
154,2021-10-28,光大证券：维持华润微(688396.SH)“买入”评级 业绩快速增长 产能利用率保持高位,智通财经
155,2021-10-28,A股融资融券日报：两融余额减少19.89亿元（10月27日）,Wind
156,2021-10-27,华润微：工艺平台持续升级 国产功率龙头的进击之路,金融界
157,2021-10-27,华润微(688396)2021年三季报点评：业绩符合预期 研发高投入加速产品升级和产能扩张,新浪
158,2021-10-27,华润微跌11.25% 华西证券华创证券今刚唱多,中国经济网
159,2021-10-27,"华润微现1笔大宗交易 共成交1,291.66万元",新浪
160,2021-10-27,华润微今日大宗交易成交20.83万股，成交价62.0元折价0.23%,Wind
161,2021-10-27,800亿半导体龙头闪崩！华润微半年缩水560亿，发生了什么？,凤凰网
162,2021-10-27,A股资金流向：新能源板块虹吸效应显著,Wind
163,2021-10-27,半导体硅片股跌幅扩大 华润微跌超12%,格隆汇
164,2021-10-27,【行情】半导体及元件板块午后持续低迷，华润微跌超12%，赛微电子、艾为电子、金百泽跟跌,金十数据
165,2021-10-27,突发闪崩！两券商刚推荐“买入”，半导体龙头华润微却大跌超11%，什么情况？,每日经济新闻
166,2021-10-27,千亿半导体巨头跌11%！格力大跌，新能源掀涨停潮,Wind
167,2021-10-27,朝闻国盛：北上连续流入破百亿,新浪
168,2021-10-27,"打新的懵了！新股首日1秒破发，大跌13%！百亿公司重挫43%，紧急停牌！电力新能源又爆发，掀涨停潮！格力大跌，千亿防水茅快跌停
重大事项停牌",中国基金报
169,2021-10-27,TCL科技、乾照光电等五家企业前三季业绩一览,LED在线
170,2021-10-27,国盛证券维持华润微买入评级：行业持续景气，加大新产品研发投入,每日经济新闻
171,2021-10-27,国盛证券：给予华润微买入评级,证券之星
172,2021-10-27,【电子】深度研究：第三代半导体：新能源汽车+AIOT+5G撬动蓝海市场，碳中和引领发展热潮,天风研究
173,2021-10-26,华西证券维持华润微买入评级：加大研发投入，积极布局化合物半导体,每日经济新闻
174,2021-10-26,华润微前三季度净利润增长145% 多项产品研发取得突破,上证报
175,2021-10-26,华润微：2021年前三季度净利润约16.84亿元，同比增长145.2%,每日经济新闻
176,2021-10-26,华润微三季度净利润同比增长117% 持续布局一体化再迎丰收,证券时报网
177,2021-10-26,图解华润微三季报：第三季度单季净利润同比增117.26%,证券之星
178,2021-10-26,A股资金流向（10月26日）：新能源板块遭获利盘打压，超跌TMT成为避风港,Wind
179,2021-10-26,华润微(688396.SH)第三季度净利润6.16亿元 同比增长117.26%,格隆汇
180,2021-10-26,华润微：前三季度净利同比增长145.2%,财联社
181,2021-10-26,华润微：前三季度净利润同比增长145.2%,Wind
182,2021-10-25,A股资金流向（10月25日）：碳中和再成市场共识，“风光车储”全线开花,Wind
183,2021-10-25,中泰金工定向增发跟踪周报（10/24）,ZTQuant
184,2021-10-25,电子行业周报：景气度分化 重点看好半导体(设备/汽车/特种)+汽车电子+新硬件龙头,新浪
185,2021-10-22,下周783亿市值限售股解禁，长城证券解禁市值近160亿元 解禁,Wind
186,2021-10-22,A股资金流向（10月22日）：外资连续两日净入百亿撑起盘面，核心资产成最大赢家,Wind
187,2021-10-22,华润微深度报告：功率龙头业绩迎来拐点，新型业务拓展顺利进行,中自网
188,2021-10-21,产业链紧张如何解决？芯龙技术315页科创板问询回复透露这些信息,财联社
189,2021-10-21,A股资金流向（10月21日）：新能源板块显露疲态，资金避高就低流入大金融龙头,Wind
190,2021-10-20,国家大基金二期投资版图再扩大，已布局13家产业链标的,Wind
191,2021-10-19,深度*行业*半导体行业周报：三季报业绩普遍高增长 台积电表示产能紧张延续至2022全年,新浪
192,2021-10-19,电子行业周报：台积电2021Q3业绩解读及2021Q4展望,国海证券
193,2021-10-19,深度*行业*电子行业周报：需求与产能共振 半导体产业持续增长可期,新浪
194,2021-10-19,大基金有新动作！二期布局有何玄机？,Wind
195,2021-10-18,国家大基金投资“平衡术”：减持两只半导体龙头套现约12亿，二期对外投资近300亿元 减持股份,21世纪经济报道
196,2021-10-18,A股资金流向（10月18日）：双重“利空”来袭，大消费不敌新能源让出“C位”,Wind
197,2021-10-18,科技硬件周报：半导体景气周期延续,新浪
198,2021-10-17,电子行业周报：景气度分化 重点看好半导体(设备/汽车/特种)+汽车电子+新硬件龙头,新浪
199,2021-10-17,华润微(688396.SH)：约1.0417亿股限售股将解禁 解禁,格隆汇
200,2021-10-16,【行业深度】洞察2021：中国半导体分立器件制造行业竞争格局及市场份额(附市场集中度、企业竞争力评价等),前瞻研究院
201,2021-10-15,华润微：约1.04亿股限售股10月27日解禁，占比约7.89% 解禁,每日经济新闻
202,2021-10-15,华润微：1.04亿股限售股10月27日上市流通 解禁,Wind
203,2021-10-15,冲刺创业板“红筹回归首单”，中集天达大有不同,Wind
204,2021-10-14,华润微董秘回复：我们判断未来十年都是半导体产业的成长期,证券之星
205,2021-10-14,华润微：公司目前在手订单饱满，售价和成本相对稳定,每日经济新闻
206,2021-10-14,华润微：润西微已经开始建设，建设周期大约3年，将逐步贡献产能,每日经济新闻
207,2021-10-14,华润微：将于2021年10月27日披露三季度报告,每日经济新闻
208,2021-10-14,华润微：公司加快中低压MOS产品的研发，并积极与国际一流大厂和整车厂对接交流,每日经济新闻
209,2021-10-13,A股资金流向（10月13日）：“茅宁”归来，消费、新能源板块携手回暖,Wind
210,2021-10-12,A股资金流向（10月12日）：市场热点匮乏，资源股再成杀跌主力,Wind
211,2021-10-12,华润微：公司在有序扩充现有8吋产能的同时，亦在积极开展12吋线的产能建设,Wind
212,2021-10-12,华润微接受21家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
213,2021-10-12,华润微：国泰君安证券、南方基金等24家机构于9月9日调研我司,证券之星
214,2021-10-12,华润微：公司自主研发的第一代650V、1200VSiCJBS产品实现量产,Wind
215,2021-10-12,华润微：公司的供电受到保障，限电暂未对生产造成影响,Wind
216,2021-10-12,电子行业周报：对当前半导体板块投资机会的深度思考,国海证券
217,2021-10-11,电子元器件周报：芯片大厂开启新一轮涨价潮 半导体景气度有望延续,新浪
218,2021-10-11,A股资金流向（10月11日）：资金延续避高就低态势，大金融板块获青睐,Wind
219,2021-10-08,深度*行业*电子行业周报：三季报拉开序幕 晶圆厂格芯赴美上市,新浪
220,2021-10-05,预见2022：《2022年中国半导体分立器件制造行业全景图谱》(附市场供需、竞争格局和发展前景等),前瞻研究院
221,2021-10-03,重回年初起点，科创板2021年前三季度榜单全面揭晓,Wind
222,2021-10-01,重回年初起点，科创板前三季度榜单全面揭晓！,Wind
223,2021-09-30,并购出牛股！6成上涨11家翻番，更多在路上,Wind
224,2021-09-30,华润微：目前限电政策对公司无影响,Wind
225,2021-09-29,电子行业 功率半导体专题报告：下游需求旺盛 国产替代进行时,新浪
226,2021-09-29,A股资金流向（9月29日）：节前资金避险欲望强烈，银行股获青睐,Wind
227,2021-09-29,华润微荣获“科创金骏马之卓越公司奖”,证券日报网
228,2021-09-27,中概股批量“回A”——这是最好的时代,Wind
229,2021-09-27,华润微(688396.SH)：累计获得政府补助共计约1.51亿元,格隆汇
230,2021-09-23,深度*行业*半导体行业周报：全球晶圆厂设备支出预期持续增长 国产先进封装光刻机迎来新进展,新浪
231,2021-09-23,华润微：公司mosfet产品的下游主要应用端包括消费电子、工业控制、汽车电子等,每日经济新闻
232,2021-09-23,A股资金流向（9月23日）：电力、资源股出现强分歧,Wind
233,2021-09-22,电子元器件周报：IPHONE13正式发布 行业景气度有望延续,新浪
234,2021-09-22,A股资金流向（9月22日）：电力股全线爆发，“茅宁”成“牛夫人”,Wind
235,2021-09-22,A股主力净流入逾100亿、超跌高景气股票名单出炉,Wind
236,2021-09-21,“科技型红筹”境内上市扩容，红筹回A迎来加速期,第一财经
237,2021-09-17,华润微：公司暂未涉及锑化物领域,Wind
238,2021-09-17,华润微：2021年上半年公司功率器件产品在光伏逆变器领域的出货量较去年同期有所提升,每日经济新闻
239,2021-09-17,华润微：公司暂未涉及锑化物领域,每日经济新闻
240,2021-09-16,A股资金流向（9月16日）：战神“锂布”马失前蹄，新能源产业链集体遭抛售,Wind
241,2021-09-15,华润微：现有研发团队及核心技术人员能够支持公司未来核心技术的持续研发,每日经济新闻
242,2021-09-15,A股资金流向（9月15日）：“打地鼠”行情愈演愈烈，新能源“王位”难以撼动,Wind
243,2021-09-15,电子：半导体大厂安森美再次涨价 印证行业高景气,新浪
244,2021-09-14,A股资金流向（9月14日）：资金出逃高位资源股，锂电滞涨分支挖掘补涨,Wind
245,2021-09-14,华润微回应核心技术人员离职：系调动至集团担任专职外部董事 员工变动,财联社
246,2021-09-14,12寸晶圆产线后再建功率半导体封装基地！华润微的大布局！,中自网
247,2021-09-14,IDM龙头华润微：8英寸项目延期至明年12月 项目问题,证券之星
248,2021-09-13,华润微8英寸半导体募投项目延期一年半 近1个多月3名核心技术人员离职 项目问题,每日经济新闻
249,2021-09-13,上海证券电子行业周报：功率半导体产业半年报梳理,新浪
250,2021-09-13,华润微：提名李巍巍担任公司董事、审计合规委员会委员，提名窦健担任公司董事、战略委员会委员,每日经济新闻
251,2021-09-13,华润微(688396.SH)聘任吴国屹担任财务总监,智通财经
252,2021-09-13,华润微(688396.SH)：专家委员会主任及核心技术人员王国平离职 员工变动,智通财经
253,2021-09-13,华润微：公司高级管理人员暨核心技术人员王国平离职 董监高成员变化,Wind
254,2021-09-13,A股资金流向（9月13日）：资源股涨势进一步扩散，资金撤离赛道股,Wind
255,2021-09-10,A股资金流向（9月10日）：金融、消费成为中流砥柱，资金回流半导体行业,Wind
256,2021-09-07,A股资金流向（9月7日）：资源、金融双轮驱动，追高资金享受溢价,Wind
257,2021-09-06,华润微：12寸产线预计在2022年实现产能贡献,证券之星
258,2021-09-06,华润微：广发证券、Ariose Capital等113家机构于8月19日调研我司,证券之星
259,2021-09-06,华润微接受99家机构调研！短期主力资金净流出，存在资金分歧,每日经济新闻
260,2021-09-06,半导体周跟踪：产业趋势向上明确 短期波动不改高景气,新浪
261,2021-09-06,三大热门赛道财报透视，高研发投入下业绩迎爆发,Wind
262,2021-09-03,华润微：公司不涉及EDA设计软件开发,每日经济新闻
263,2021-09-03,江苏区域股市周报：167家机构调研苏文电能 华润微跌出板块市值10强,每日经济新闻
264,2021-09-03,华润微2021年前三季度营收69.28亿元，同比增长41.70%,亿欧网
265,2021-09-02,大基金批量减持半导体，1600亿巨头一度跌停，这次影响多大？,Wind
