,2021-12-30,消息称华润微 12 英寸先进功率半导体晶圆生产线项目有望于明年建成投产,中电网
539,2021-06-11,进军科创板融资120亿，国内第三大晶圆代工厂崛起？,观察者网
540,2021-06-11,A股半导体爆发一个月：行业进入传统旺季13只个股末位挣扎,华夏时报
541,2021-06-11,上交所发布科创板上市公司科创属性持续披露指引，强化科创属性信息披露,Wind
542,2021-06-11,A股资金流向（6月11日）：新能源、疫苗龙头获资金回流,Wind
543,2021-06-11,晨会聚焦210611重点关注涂鸦智能的关键问题解析,国信研究
544,2021-06-11,华润微订单饱满连续五季净利倍增 携手大基金75亿共建芯片产能,长江商报
545,2021-06-10,【天风新材料20210610】投资75.5亿 华润微与大基金共建12寸半导体晶圆生产线,煤炭鑫观点
546,2021-06-10,A股资金流向（6月10日）：资金撤离白酒股，转投新能源龙头,Wind
547,2021-06-10,华创证券：华润微（688396.SH）携手大基金共建12寸产能，维持“强推”评级,智通财经
548,2021-06-10,科创板行情下机构投资新风向：前期超跌引掘金，布局未来核心资产,Wind
549,2021-06-10,晨会聚焦210610重点关注固定收益专题,国信研究
550,2021-06-09,A股资金流向（6月9日）：券商龙头遭抛售,Wind
551,2021-06-09,解盘：百亿资金流入，钛白粉、煤炭、铁矿石、ST领涨,Wind
552,2021-06-09,华润微：12寸产线开启,半导体风向标
553,2021-06-09,科创50指数早盘涨超1%,Wind
554,2021-06-09,晨会聚焦210609重点关注培育钻石行业、再生铝行业、元宇宙专题、机械行业,国信研究
555,2021-06-09,【晨观方正】宏观/家电/电新/环保/科技&电子/食品饮料/建材建筑 20210609,新浪
556,2021-06-09,华润微(688396)重大事项点评：携手大基金共建12寸产能 产能优势持续巩固,新浪
557,2021-06-08,东海基金日报 | 6月8日,东海基金
558,2021-06-08,国家大基金又出手了 携手功率半导体龙头斥资75亿投建12寸晶圆生产线,IPO日报
559,2021-06-08,芯片涨价5倍！国家大基金携手华润微等，投资75亿共建晶圆生产线,新浪
560,2021-06-08,A股资金流向（6月8日）：白酒股巨量杀跌，资金大幅出逃,Wind
561,2021-06-08,英飞凌跃居全球汽车半导体第一行业增量空间广阔国内厂商登上舞台,财联社
562,2021-06-08,华润微(688396)股票行情 全球疫情引发“缺芯荒”,至诚财经
563,2021-06-08,半导体重镇再次“封国”！“缺芯”潮仍将蔓延 这三大细分方向最受机构看好,上海有色
564,2021-06-08,电子行业周报：鸿蒙引领IOT芯机遇,新浪
565,2021-06-08,ST板块再掀涨停潮 “妖股”ST岩石继续横行？公募基金最新调研动向曝光！,中金在线
566,2021-06-08,“缺芯荒”加剧！半导体巨头195人确诊！国家大基金重磅出手，900亿巨头应声暴涨！,中国基金报
567,2021-06-08,与华润微等投资75.5亿建12寸晶圆生产线，国家大基金二期的晶圆布局不止于此,21世纪经济报道
568,2021-06-08,国联证券：华润微（688396.SH）携手大基金加码12英寸，维持“增持”评级,智通财经
569,2021-06-08,海外半导体封测业停摆，券商建议关注国内厂商，这些标的获推荐,第一财经
570,2021-06-08,华润微将携手大基金二期，斥巨资建12寸功率器件产线,中自网
571,2021-06-08,携手大基金等投资75.5亿建12寸晶圆生产线，华润微高开9%,第一财经
572,2021-06-08,华润微(688396)：携手大基金加码12英寸 夯实成长动力,国联证券
573,2021-06-08,快讯：华润微竞价高开9%,财联社
574,2021-06-08,华润微开盘涨超9% 拟与大基金二期共建12寸功率半导体晶圆生产线,e公司
575,2021-06-08,华润微高开9%，子公司拟与大基金二期投建晶圆生产线项目,Wind
576,2021-06-08,半导体巨头195人确诊，两大龙头停摆！“国家队”出手，什么信号？,Wind
577,2021-06-08,芯片大消息 800亿巨头牵手国家大基金二期斥资逾70亿 投建这一项目,证券时报网
578,2021-06-08,【中证盘前】华润微再度联手国家大基金；粤电力A再签130亿合作协议；宏达股份实控人涉嫌犯罪被刑拘；温氏股份5月猪肉销售环比大增,中证报
579,2021-06-08,为了芯片！国家大基金二期联手860亿市值A股龙头，投资近76亿,Wind
580,2021-06-08,"突发，公司实控人被刑拘，事涉四川信托，另有上市公司或涉及“精准减持”遭监管问询。大基金二期再出手，“缺芯”危机下板块近期大涨
减持股份",e公司
581,2021-06-08,华润微携手大基金加码晶圆生产线,上证报
582,2021-06-08,上市公司正负面新闻2021年6月8日星期二,Wind
583,2021-06-08,又一A股芯片业巨头传出涨价消息！缺芯潮将持续到何时？,中证报
584,2021-06-07,大基金二期再出手！联合华润微、重庆西永投75.5亿扩产晶圆,每日经济新闻
585,2021-06-07,【金财富早知道】2021-06-08,赢家之星
586,2021-06-07,国家大基金二期出马联手860亿市值A股龙头 新项目投资近76亿,新浪
587,2021-06-07,供应短缺预期升温，半导体板块“霸屏”A股,第一财经
588,2021-06-07,华润微(688396.SH)：2020年每股现金红利0.07元股权登记日6月16日,格隆汇
589,2021-06-07,晚间重要公告2021年6月7日星期一,Wind
590,2021-06-07,大基金再出手：这次瞄准功率半导体 携手龙头华润微共建产能,中国基金报
591,2021-06-07,华润微：公司SiC二极管已于去年7月份推向市场，产品目标应用主要在工业控制、新能源、汽车领域等,每日经济新闻
592,2021-06-07,华润微：公司上榜的三样产品2020年销售额超过8亿元，三样产品的国内市场超过100亿,每日经济新闻
593,2021-06-07,华润微：公司SiC 二极管可用于车载高压OBC，预计今年将进一步推出 SiC MOSFET产品,每日经济新闻
594,2021-06-07,华润微(688396.SH)董事余楚荣和董事、助理总裁兼财务总监彭庆辞职 董监高成员变化,智通财经
595,2021-06-07,华润微(688396.SH)聘任段军为副总裁,智通财经
596,2021-06-07,华润微(688396.SH)拟携大基金二期等投资75.5亿元建12寸功率半导体晶圆生产线,智通财经
597,2021-06-07,华润微子公司拟投建12寸功率半导体晶圆生产线，投资75.5亿元,IT之家
598,2021-06-07,华润微(688396.SH)将于6月17日分红 每股派0.07373元,智通财经
599,2021-06-07,华润微：余楚荣、彭庆辞去董事职务，董事会同意提名汤树军任董事,每日经济新闻
600,2021-06-07,华润微：聘任段军为公司副总裁,Wind
601,2021-06-07,华润微：聘任段军为公司副总裁,每日经济新闻
602,2021-06-07,段军任华润微副总裁 曾任职中国长城科技集团,每日经济新闻
603,2021-06-07,华润微：子公司拟与大基金二期等设立项目公司 投建12寸功率半导体晶圆生产线项目,e公司
604,2021-06-07,A股资金流向（6月7日）：芯片股获资金抢筹，新能源龙头遭抛售,Wind
605,2021-06-07,半导体板块飙涨，有芯片价格涨至5倍，行业供需格局或仍趋紧丨牛熊眼,第一财经
606,2021-06-04,捷捷转债投资简析：功率半导体器件隐形冠军 建议积极申购,新浪
607,2021-06-04,A股资金流向（6月4日）：面板、光伏龙头持续遭资金抛售,Wind
608,2021-06-03,A股资金流向（6月3日）：医药龙头持续遭资金抛售,Wind
609,2021-06-02,A股资金流向（6月2日）：资金大幅出逃，医药板块成“重灾区”,Wind
610,2021-06-02,华润微：无锡8寸募投项目已按原计划完成前期系列基础设施工程，并达到可使用状态，目前产能陆续释放中,每日经济新闻
611,2021-06-02,"华润微：公司募投项目投产后，预计每月增加BCD和MEMS工艺产能约16,000片",每日经济新闻
612,2021-06-02,晨会聚焦210602重点关注现代牙科、商贸零售、机械、海外教育、港股、房地产、白酒、拓邦股份、洋河股份、美团,国信研究
613,2021-06-02,晶圆厂资本开支上行，关注设备和材料国产化机会,招商证券
614,2021-06-01,A股资金流向（6月1日）：周期股重获资金青睐，券商龙头遭抛售,Wind
615,2021-06-01,半导体重镇再次“封国”！“缺芯”潮仍将蔓延，这三大细分方向最受机构看好,财联社
616,2021-06-01,芯片股持续活跃机构看好这些个股,第一财经
617,2021-05-31,5月31日晚间重要行业研究汇总(附股),中金在线
618,2021-05-31,电子行业周报：三大角度分析LCD面板能否变成弱周期行业？,国海证券
619,2021-05-31,电子行业周报：半导体景气持续业绩确定 面板价格保持上升,华安证券
620,2021-05-31,芯片股逐渐活跃，韦尔股份、中兴通讯、北方华创、兆易创新、华润微等纷纷上扬,Wind
621,2021-05-30,板块拾金|一天一个样！新能源、半导体、金融...轮动市到底看谁？策略收好！,第一财经
622,2021-05-30,半导体行业报告：5G持续落地+国产替代加速 看好前瞻布局射频前端滤波器核心技术相关标的,新浪
623,2021-05-28,中证指数公司调整沪深300等指数样本,Wind
624,2021-05-28,A股资金流向（5月28日）：券商龙头持续获青睐,Wind
625,2021-05-27,【半导体投资日报】看好半导体国产化进程，材料和设备都还有很大的提升空间，关注细分行业增量,新浪
626,2021-05-27,毛利率低于同行业，麦斯克闯关创业板能否顺利？ 盈利能力下降,资本邦
627,2021-05-27,A股资金流向（5月27日）：资金大幅涌入芯片龙头股,Wind
628,2021-05-27,集成电路后摩尔时代将来临，这些领域龙头公司有望直接受益,第一财经
629,2021-05-26,A股资金流向（5月26日）：沪强深弱态势明显，创蓝筹遭资金抛售,Wind
630,2021-05-26,电子元器件周报：大尺寸面板周期属性有望弱化 半导体硅片厂商同比增速提速,新浪
631,2021-05-25,电子行业：建议关注AR／VR产业链投资机会,新浪
632,2021-05-25,半导体板块午前走高,Wind
633,2021-05-25,【天风Morning Call】晨会集萃20210525,天风研究
634,2021-05-24,A股资金流向（5月24日）：券商股持续获资金流入，华为汽车龙头被抛售,Wind
635,2021-05-24,晨会聚焦210524重点关注社会服务、海外银行、传媒、医药、卓胜微,国信研究
636,2021-05-22,华润微：MOS，功率IC，代工齐发力,半导体风向标
637,2021-05-22,中芯国际，竞争对手要来科创板IPO了！又是合肥造！,新浪
638,2021-05-22,“缺芯”调查：中下游电子厂“有单接不了” 4S店进口车延迟交付,Wind
639,2021-05-22,【民生周末重点推荐】首席看电子：业绩增长强劲，电子行业景气延续——电子行业2020年报和2021一季报总结,MS研究
640,2021-05-21,A股资金流向（5月21日）：医药龙头集体遭抛售,Wind
641,2021-05-21,光大证券--半导体4月跟踪报告：半导体2020及21Q1业绩靓丽，景气高企【行业研究】,金融界股吧
642,2021-05-21,净利大幅提升 晶圆代工景气高涨,中国电子报
643,2021-05-20,A股资金流向（5月20日）：华为汽车、周期龙头被抛售,Wind
644,2021-05-19,银河电子周观点：功率半导体景气度向上 国内厂商扩产趋势明显,新浪
645,2021-05-19,A股资金流向（5月19日）：比亚迪获资金爆买，银行股遭抛售,Wind
646,2021-05-19,晨会聚焦210519重点关注华测导航、银行理财、汽车汽配、房地产、纺织服装、扬农化工、中兵红箭、华峰化学、中国移动,国信研究
647,2021-05-19,芯片未来将在材料和封装上创新，关注五个投资方向,方正证券
648,2021-05-18,一季度集成电路产业销售额同增18% 草甘膦价格年涨幅接近翻番丨明日主题前瞻,第一财经
649,2021-05-18,A股资金流向（5月18日）：资金避高就低，医药龙头遭抛售,Wind
650,2021-05-18,国家大基金拟再次减持芯片龙头超12亿,Wind
651,2021-05-17,芯片价格“涨声不断”，多家公司股价创新高！顶流基金经理谢治宇、知名牛散赵建平等正积极增仓,红周刊
652,2021-05-17,策略研究：研发开启中国制造进阶之路,新浪
653,2021-05-17,A股资金流向：盘面较为混乱，小金属龙头获青睐,Wind
654,2021-05-17,电子行业：新封装、新材料、新架构驱动后摩尔时代集成电路发展,新浪
655,2021-05-16,【民生研究】周观点汇总：疫情和就业数据只是扰动，发达国家经济复苏趋势没有改变,新浪
656,2021-05-14,A股资金流向（5月14日）：大金融引爆全场，资金抢筹券商龙头,Wind
657,2021-05-14,“起底”科创板再融资：20单融资超400亿元 这3家公司拿到批文待发行,科创板日报
658,2021-05-13,半导体年报&Q1总结：中短期看量价齐升 中长期看需求和格局,新浪
659,2021-05-13,A股资金流向（5月13日）：资金各自为战，有色龙头连续被抛售,Wind
660,2021-05-13,电子行业2021年中期策略：大变局下的电子行业新机遇,新浪
661,2021-05-13,电子行业2020年报和2021一季报总结：业绩增长强劲 电子行业景气延续,新浪
662,2021-05-12,A股资金流向（5月12日）：市场迎久违普涨，汽车股获资金追捧,Wind
663,2021-05-12,【深度】科创板半导体财报大扫描：行业高景气度是常态，晶圆制造领域亮点多【安信诸海滨团队】,诸海滨科新先声
664,2021-05-11,华润微(688396)：产能利用率提升驱动公司业绩增长 受益于下游需求旺盛,新浪
665,2021-05-10,国君策略·五月金股组合：制造的中段 科技的起点,新浪
666,2021-05-10,华润微：公司对2021年全年保持乐观的态度,e公司
667,2021-05-10,华润微接受81家机构调研,每日经济新闻
668,2021-05-10,科技行业FY20&1Q21业绩回顾：半导体设计／制造板块迎来高景气周期,新浪
669,2021-05-10,2021年年中主要宽基指数样本股调整预测：金山办公等5只科创板个股有望纳入沪深300,新浪
670,2021-05-10,A股资金流向（5月10日）：有色龙头再获资金加仓，白酒龙头遭抛售,Wind
671,2021-05-10,电子行业周报：手机需求放缓 再谈半导体投资逻辑,新浪
672,2021-05-10,当前步入制造的中段 科技成长的起点,财富动力网
673,2021-05-09,A股半导体公司Q1业绩排行榜：120家公司合计营收2029亿元，超9成公司实现增长,搜狐
674,2021-05-08,半导体业绩总结,半导体风向标
675,2021-05-08,5月机会：赚钱效应逐渐回升三大行业被集体看好！,金融投资报
676,2021-05-07,机会来了！这些公司有望调入沪深300、上证50指数,Wind
677,2021-05-07,定增市场周报：竞价募足率降至低于七成 募资额环比提升逾两倍,新浪
678,2021-05-07,A股资金流向（5月7日）：有色龙头持续获资金青睐,Wind
679,2021-05-07,中金：医药、新能源多只股票或将纳入沪深300指数,Wind
680,2021-05-07,华润微(688396)公司信息更新报告：2020业务全面开花 2021有望加速成长,新浪
681,2021-05-07,平安证券--电子行业周报：苹果财报发布，一季度手机出货排名出炉【行业研究】,金融界股吧
682,2021-05-07,半导体企业Q1大考！谁是科创板领头羊？,中自网
683,2021-05-07,中金公司：医药、新能源行业多只股票或将纳入沪深300指数,Wind
684,2021-05-06,A股资金流向（5月6日）：消费、疫苗龙头遭资金抛售,Wind
685,2021-05-06,东方证券给予华润微买入评级：行业高景气，业绩高增长有望延续,每日经济新闻
686,2021-05-06,5月券商金股曝光！2只医药股最受青睐（名单）,Wind
687,2021-05-01,华润微(688396)2020年报&2021年一季报点评：业绩超预期 供需两旺带动功率器件龙头盈利弹性持续释放,新浪
688,2021-04-30,A股主力资金流向（4月30日）：医药股获资金爆买,Wind
689,2021-04-30,开源证券维持华润微买入评级，公司信息更新报告：2020业务全面开花，2021有望加速成长,每日经济新闻
690,2021-04-30,国盛证券给予华润微买入评级：财报超预期，核心IDM资产业绩弹性大,每日经济新闻
691,2021-04-30,华安证券维持华润微买入评级：年报一季报超预期，IDM龙头盈利加速释放,每日经济新闻
692,2021-04-30,国金证券维持华润微买入评级：功率IDM的盈利弹性将持续增强,每日经济新闻
693,2021-04-30,民生证券维持华润微推荐评级：业绩大幅增长，充分受益行业高景气,每日经济新闻
694,2021-04-30,华西证券维持华润微买入评级：行业景气度持续，Q1环比高速增长,每日经济新闻
695,2021-04-30,华润微：2020年度净利润约9.64亿元，同比增加140.46%,每日经济新闻
696,2021-04-30,华润微(688396.SH)年度归母净利同比增长140.46%至9.64亿元 每10股派0.7373元,智通财经
697,2021-04-30,华润微：2020年扣非净利润大增313.52%,上证报
698,2021-04-29,华润微：2020年营收超69亿元 IDM全产业链优势凸显,中证网
699,2021-04-29,华润微去年扣非净利润大增逾三倍 2021年迎接半导体行业新机遇,发布易
700,2021-04-29,华润微(688396.SH)一季度净利润升251.85%至4亿元,格隆汇
701,2021-04-29,华润微去年扣非净利润大增313.52% 2021年将积极扩产,证券时报网
702,2021-04-29,华润微(688396.SH)2020年度净利润升140.46%至9.64亿元拟10派0.7373元,格隆汇
703,2021-04-29,华润微：一季度净利润4亿元 同比增252%,e公司
704,2021-04-29,华润微：2020年净利润同比增长140.46%,Wind
705,2021-04-29,华润微：一季度净利润同比增长251.85%,Wind
706,2021-04-29,A股资金流向（4月29日）：大资金涌入券商龙头,Wind
707,2021-04-29,高研发投入催生高增长 科创板半导体公司彰显“科创”本色,上证报
708,2021-04-28,华润微：向特定对象发行新增股份约1.04亿股,每日经济新闻
709,2021-04-27,【半导体投资日报】缺芯已经影响洗衣机和面包机，兆易创新一季度净利增79.43%，韦尔股份遭股东减持0.99% 减持股份,新浪
710,2021-04-27,A股资金流向（4月27日）：医疗板块多个细分龙头获青睐，券商股遭抛售,Wind
711,2021-04-26,电子行业：华为发布汽车新品 带动相关产业链,新浪
712,2021-04-26,华安证券--电子行业周报：持续聚焦一季报确定的面板、半导体板块【行业研究】,金融界股吧
713,2021-04-23,A股主力资金流向（4月23日）：机构抱团股重获追捧，中国平安连续7日遭抛售,Wind
714,2021-04-22,超9成盈利、27家业绩翻番，半导体迎最好时期,Wind
715,2021-04-22,关键芯片遭大厂暂停接单，相关板块沸腾,Wind
716,2021-04-21,【半导体投资日报】一季度我国芯片相关企业注册量增302%，阿斯麦净利润增240%,新浪
717,2021-04-21,A股资金流向（4月21日）：医美龙头获青睐，华为汽车概念遭抛售,Wind
718,2021-04-21,两市融券余额首超1500亿元，上市公司股东出借意愿增强,Wind
719,2021-04-20,再度传调涨！MCU缺货潮蔓延，最长排产到明年，个股已涨77%,证券之星
720,2021-04-20,再度传调涨！MCU缺货潮蔓延，最长排产到明年，个股已涨77%,财联社
721,2021-04-20,半导体公司一季度业绩集体预增,Wind
722,2021-04-19,半导体动态分析：关注半导体龙头成长机会、全面扩产带来国产机遇,新浪
723,2021-04-19,东兴证券：华润微（688396.SH）功率半导体IDM龙头，首予“强烈推荐”评级,智通财经
724,2021-04-19,信达证券--电子行业深度报告：追根溯源，探讨半导体缺货的危与机【行业研究】,金融界股吧
725,2021-04-16,A股资金流向（4月16日）：白酒股强者恒强，恒瑞医药连遭资金抛售,Wind
726,2021-04-16,三大指数盘中均翻绿 创业板指跳水跌逾1.5%,网易
727,2021-04-16,国家队减持2800亿芯片龙头，这一内因是关键,Wind
728,2021-04-16,中芯国际遭减持22亿，大基金持仓A股最新名单出炉 减持股份,Wind
729,2021-04-15,A股资金流向（4月15日）：有色龙头获资金青睐，一线白酒股被抛售,Wind
730,2021-04-15,【机会挖掘】机构预计半导体产业已出现结构性转变 行业景气有望持续,同壁财经
731,2021-04-15,光大证券--通信电子行业周观点第8期：半导体一季报业绩靓丽，MLCC核心关注三环集团【行业研究】,金融界股吧
732,2021-04-15,公司在第三代化合物半导体领域有哪些进展？华润微回应,e公司
733,2021-04-13,A股资金流向（4月13日）：短线热门题材熄火，中国中免遭抛售,Wind
734,2021-04-13,华润微：争取4月底前完成定增,Wind
735,2021-04-13,华安证券--电子行业周报：关注一季报确定的面板、半导体板块【行业研究】,金融界股吧
736,2021-04-13,A股融资融券日报：两融余额减少31.16亿元（4月12日）,Wind
737,2021-04-13,平安证券--电子行业周报：LG电子退出智能机业务，AMD拟并购赛灵思【行业研究】 业务变化,金融界股吧
738,2021-04-12,A股资金流向（4月12日）：市场消化财报预期，周期股龙头遭抛售,Wind
739,2021-04-12,TCL百亿定增建8.6代产线，IT面板竞争格局影响几何,吉森电子研究
740,2021-04-12,华安研究行业周观点集萃,华安证券
741,2021-04-12,A股融资融券日报：两融余额减少32.23亿元（4月9日）,Wind
742,2021-04-09,华润微现1笔大宗交易 共成交207.20万元,新浪
743,2021-04-09,华润微今日大宗交易成交4万股，成交价51.8元折价15.98%,Wind
744,2021-04-09,A股资金流向（4月9日）：新股上市首日遭爆炒，白马股再遭抛售,Wind
745,2021-04-09,多家MCU台厂一季报营收强劲这些A股同行也将受益缺货潮,科创板日报
746,2021-04-08,多家上市公司回应“芯”事：对业务影响有限 将积极应对,第一财经
747,2021-04-08,“缺芯潮”持续蔓延影响几何？多家上市公司回应：问题不大,第一财经
748,2021-04-08,A股资金流向（4月8日）：热门次新股剧烈波动，医药白马获青睐,Wind
749,2021-04-07,华润微电子：多措并举应对“芯片短缺”,上证报
750,2021-04-07,汽车“缺芯”或持续一年以上，国内细分龙头替代空间巨大（附股）,第一财经
751,2021-04-07,如何应对“全球芯片短缺”？华润微：积极扩产满足市场需求,e公司
752,2021-04-07,A股资金流向（4月7日）：资金潜伏一季报预期行业，白马股再遭抛售,Wind
753,2021-04-06,电子元器件周报：3月下旬面板价格环比涨幅扩大 半导体行业景气度持续高涨,新浪
754,2021-04-06,半导体动态：芯片股集体新高！韦尔股份净利增102%，新洁能增199%,新浪
755,2021-04-06,A股资金流向（4月6日）：碳中和明星股获回流，白马股遭抛售,Wind
756,2021-04-06,华龙投顾周刊：节后关注这些方向,新浪
757,2021-04-05,清明档票房超8亿，出游爆发景区股成长性确定丨明日主题前瞻,第一财经
758,2021-04-05,【华西电子孙远峰团队-持续看好半导景气】半导体景气度持续，或逐渐步入业绩兑现期,远峰电子
759,2021-04-05,板块拾金| 半导体芯片大涨，一季报行情来袭，节后机会这么把握！,第一财经
760,2021-04-05,电子产业景气度：再次涨价进行时,新浪
761,2021-04-02,比中芯国际更好！汽车芯片隐形冠军，设计+代工+封测都齐了,云掌财经
762,2021-04-02,A股资金流向（4月2日）：成长与价值齐飞，机构抱团股连续获资金抢筹,Wind
763,2021-04-02,芯片股惊现“熔断”，白酒也飙升！机构：进入反弹窗口,Wind
764,2021-04-02,中芯国际为留人，送CEO一套2000万住房，更有薪水涨4倍,Wind
765,2021-04-01,芯片厂涨价消息传来，晶圆缺货延续产业链受益丨牛熊眼,第一财经
766,2021-04-01,中芯国际等大厂纷纷跟进涨价，机构称缺“芯”还得持续一年以上,Wind
767,2021-04-01,国元证券：3月金股组合亏损6.48% 4月荐股名单出炉 亏损,新浪
768,2021-04-01,A股资金流向（4月1日）：白马股齐反弹，科技龙头获资金抢筹,Wind
769,2021-04-01,今起大幅涨价？芯片股集体疯狂！300亿上市公司董秘转文：芯片荒是照妖镜，好公司差公司一目了然！股价应声涨停,每日经济新闻
770,2021-04-01,芯片缺货潮蔓延，概念股大涨，行业龙头刚刚发布利好,搜狐
771,2021-04-01,芯片股集体飙涨行业龙头刚刚发布利好,证券之星
772,2021-04-01,“业界第一杀猪盘”中源家居崩了 上市3年杀4次猪,新浪
773,2021-04-01,解盘：科技、消费崛起，医美、半导体、高价股领涨,Wind
774,2021-04-01,平安证券--电子行业周报：小米发布年报，英特尔计划扩产【行业研究】,金融界股吧
775,2021-04-01,4月金股曝光！券商看好这些股，最高目标价涨超70%,Wind
776,2021-03-31,A股资金流向（3月31日）：部分业绩不及预期白马股遭抛售,Wind
777,2021-03-29,A股芯片生产企业迎来利好 三部门派发进口免税“大礼包”,第一财经
778,2021-03-29,电子行业周报：一季报披露将近 面板和功率业绩确定性高,华安证券
779,2021-03-29,半导体行业周报：MAGNACHIP与智路资本达成私有化收购协议 建议关注行业格局变化,新浪
780,2021-03-29,半导体板块短线走高，广信材料、容大感光等直线拉升,Wind
781,2021-03-28,【中信建投电子|刘双锋&雷鸣团队】周报：车用芯片缺货潮或加剧；面板价格3-4月预计继续调涨,中信建投电子研究
782,2021-03-28,艾为电子董监高大额资金往来不断，中信证券是否尽职核查？,新浪
783,2021-03-26,研究 | 力芯微子公司同原实控人或牵扯不清 独董与供应商现重叠“朋友圈”,中金在线
784,2021-03-26,艾为电子不仅采销数据“打架”，高管任职履历也疑似作假 欺诈造假,新浪
785,2021-03-26,A股主力资金流向：周五大幅流入本周仍净流出千亿,Wind
786,2021-03-26,两会聚焦国产半导体自主发展 华润微IDM模式优势凸显打造“中国芯”,投资者网
787,2021-03-25,A股主力资金流向（3月25日）：资金加速逃离面板、碳中和概念股,Wind
788,2021-03-24,华润微现1笔大宗交易 共成交202.98万元,新浪
789,2021-03-24,华润微今日大宗交易成交3.87万股，成交价52.45元溢价0.0%,Wind
790,2021-03-24,A股主力资金流向（3月24日）：机构抱团股再遭抛售,Wind
791,2021-03-23,A股主力资金流向（3月23日）：面板、电子烟板块遭抛售,Wind
792,2021-03-23,八大券商主题策略：被动元件“涨”声不断！乘国产替代之风 产业链龙头全梳理,中金在线
793,2021-03-23,电子(半导体)：成熟工艺需求旺盛 国内企业加速布局,新浪
794,2021-03-22,定增市场2021年2月报：买方市场特征明显：竞价折价率大幅攀升 募足率降至五成,新浪
795,2021-03-22,【华西电子孙远峰团队-行业点评】成熟工艺需求旺盛，国内企业加速布局,远峰电子
796,2021-03-22,电子行业周报：芯片持续供不应求 继续看好被动元器件和面板景气,新浪
797,2021-03-22,平安证券--电子行业周报：中芯国际深圳扩产，miniled热度提升【行业研究】,金融界股吧
798,2021-03-21,半导体周报：SEMI预测中国IC晶圆产能今年将至少增长17%,新浪
799,2021-03-20,【银河周知】强化国家战略科技力量，把握新一轮科技股布局良机,中国银河证券研究
800,2021-03-19,A股主力资金流向（3月19日）：机构抱团股再遭抛售,Wind
801,2021-03-19,半导体展上人头攒动，业界热议三大投资机遇,Wind
802,2021-03-18,华润微(688396.SH)：定增申请获证监会同意注册批复,格隆汇
803,2021-03-18,A股主力资金流向（3月18日）：市场轮动加快，资金各自为战,Wind
