,2021-12-31,收官！“沾锂即涨”，元宇宙不退烧，今年谁是A股“最强”概念股,新京报
1232,2020-10-21,提高转换效率仍将是光伏上下游产业链的主攻方向,集邦新能源网
1233,2020-10-21,我国光伏产业第三季度共计实现产能137GW,集邦新能源网
1234,2020-10-20,电池转换效率逼近天花板 光伏技术迭代路在何方？,中国能源报
1235,2020-10-20,天合光能与青海国投海南州100MW光伏竞价项目顺利开工,北极星电力
1236,2020-10-20,天合光能获TV莱茵全球首张IEC 62941：2019光伏组件制造质量体系证书,索比光伏网
1237,2020-10-20,前9月294家企业A股上市募资3557亿 江苏广东浙江领先,中国经济网
1238,2020-10-16,新疆大全信披存疑：多种数据打架，近7亿元现金流消失 欺诈造假,金融界
1239,2020-10-14,数据|科创板主力资金净流入46股天合光能流入率最高,科创板日报
1240,2020-10-13,光伏业务营收大幅增长 天合光能2020年前三季净利逾7.55亿元,电缆网
1241,2020-10-13,600W+将成光伏行业发展风向标,中国能源报
1242,2020-10-13,前9月，天合光能净利同比或大增120%，或至8.36亿,中国投资协会
1243,2020-10-13,天合光能预计2020年前三季度盈利同比增98.77%至120.10%,资本邦
1244,2020-10-13,净利润7.55亿-8.36亿 天合光能发布三季度业绩预告 同比大增98.77%-120.10%,北极星电力
1245,2020-10-12,海外光伏业务拉动 天合光能前三季度净利预计同比增长超九成,北京商报
1246,2020-10-12,天合光能(688599.SH)预计前三季度归母净利润同比上涨98.77%至120.10%,智通财经
1247,2020-10-12,天合光能：预计前三季度净利同比增长98.77%-120.1%,格隆汇
1248,2020-10-12,天合光能：前三季度净利预增99%至120%,e公司
1249,2020-10-12,机械设备行业周报：看好工程机械景气延续 关注光伏设备龙头投资机会,新浪
1250,2020-10-09,【研报掘金】假期海外光伏龙头大涨 板块价值重估或开启新一轮“泡沫化”行情,证券时报网
1251,2020-10-09,上半年组件出口TOP 5：晶科、晶澳、阿特斯、天合光能及隆基入围,索比光伏网
1252,2020-10-09,中国海关出口分析: 2020中国组件出口预估下半年趋势,索比光伏网
1253,2020-09-29,天合光能至尊600W+系列组件获行业首张IEC双项认证证书,北极星电力
1254,2020-09-29,天合光能拟25亿元新建光伏组件项目，预测未来2年组件价格约1.3-1.4元/W！,中国投资协会
1255,2020-09-29,24.5GW组件+30GW电池 中节能、天合光能、阿特斯持续扩产！,北极星电力
1256,2020-09-28,持续加码产能 天合光能拟25亿元投建光伏组件项目,e公司
1257,2020-09-28,强者恒强趋势下 组件企业以“差异化打法”突围,北极星电力
1258,2020-09-28,天合光能(688599.SH)投资不超25亿元在江苏大丰港经济开发区投设10GW光伏组件项目,智通财经
1259,2020-09-28,天合光能：拟新建光伏组件项目，总投资不超过25亿元,Wind
1260,2020-09-28,天合光能(688599.SH)：拟投建光伏组件项目主要为年产能10GW高效光伏组件及光伏衍生产品的研产销,格隆汇
1261,2020-09-28,天合光能：拟新建光伏组件项目 总投资不超过25亿元,e公司
1262,2020-09-28,光伏的投资逻辑和价值,新浪
1263,2020-09-27,电气设备新能源行业周报：中欧两国携手倡导绿色发展 光伏电动车双双利好,新浪
1264,2020-09-27,供应链关系尚未实质扭转光伏企业前景“稳中存忧”,产业经济新闻网
1265,2020-09-27,光伏电池技术路线之争愈演愈烈,北极星电力
1266,2020-09-25,平价时代光伏发展大浪潮，谁主沉浮?,索比光伏网
1267,2020-09-24,天合光能：公司在半导体行业有一定程度投资布局,Wind
1268,2020-09-23,数据|科创板主力资金净流入109股天合光能连续两日流入率最高,科创板日报
1269,2020-09-23,深度｜百亿晶科资本“阳谋”：最后的光伏“赴A者”保留双重上市地位,21世纪经济报道
1270,2020-09-22,2020年全球光伏发电行业市场现状及发展前景分析 2025年累计装机容量有望超1700GW,前瞻研究院
1271,2020-09-22,总投资30亿元，天合光能15GW高效组件项目签约落地常州高新区,索比光伏网
1272,2020-09-22,天合光能常州拟建年产15GW大功率高效组件项目,有色金属工业网
1273,2020-09-21,【SMM快讯】天合光能建设年产15GW新项目 扩充光伏组件产能,上海有色
1274,2020-09-21,天合光能至尊550W组件量产 平价时代需要低电压组件解决方案,索比光伏网
1275,2020-09-21,天合光能与常州高新区战略合作 打造光伏产业高地,机电之家
1276,2020-09-20,9月20日晚间上市公司十大重磅公告,巨丰财经
1277,2020-09-20,天合光能拟斥资不超30亿元 投资年产15GW的大功率高效组件项目,e公司
1278,2020-09-20,天合光能(688599.SH)拟投资不超30亿元建设年产15GW的大功率高效组件项目,格隆汇
1279,2020-09-20,天合光能：计划投资不超30亿元在常州高新区开展大功率高效组件项目,格隆汇
1280,2020-09-20,天合光能：建设15GW大功率高效组件项目，投资总额不超过30亿元,Wind
1281,2020-09-18,阿里云发布工业大脑3.0 相关上市公司有望获益,证券时报网
1282,2020-09-18,海优新材现金流3年连负流动负债飙虚增营收粉饰业绩? 偿债能力下降,中国经济网
1283,2020-09-17,天合光能至尊系列组件累计签单1GW,中国能源网
1284,2020-09-16,9月16日晚间上市公司十大重磅公告,巨丰财经
1285,2020-09-16,天合光能至尊600W/550W系列超高功率组件通过德国莱茵TüV全套可靠性测试,北极星电力
1286,2020-09-16,天合光能：至尊系列组件通过德国莱茵TüV全套可靠性测试,Wind
1287,2020-09-16,天合光能：至尊系列组件通过德国莱茵TV全套可靠性测试,e公司
1288,2020-09-16,2020年光伏产业给资本市场带来了一场惊喜：逾20家企业登陆资本市场或拟上市中,北极星电力
1289,2020-09-15,数据|科创板主力资金净流出110股天合光能流出率最高,科创板日报
1290,2020-09-14,高纪凡：天合光能新梦想——用创新打造无碳能源新世界,北极星电力
1291,2020-09-14,全球组件企业重新排座次：晶科守擂 隆基猛进,北极星电力
1292,2020-09-14,【太平洋机械】机械行业周报20200912：政策鼓励可再生能源发展，扩产及技术迭代利好光伏设备,太平洋机械大讲堂
1293,2020-09-11,天合光能呼吁：“十四五”规划应该扩大清洁能源应用,SEMI
1294,2020-09-10,通威&天合联姻！对产业链有何重大影响？,一带一路高参
1295,2020-09-09,天合光能全资收购西班牙支架企业 解决方案实力再飞跃,北极星电力
1296,2020-09-09,2019年光伏组件企业产能产量排行榜(含全球市场分析),一带一路高参
1297,2020-09-08,天合光能：拟4272.78万欧元收购Nclave剩余49%股权,中证网
1298,2020-09-08,天合光能：拟4273万欧元收购Nclave剩余49%股权,e公司
1299,2020-09-08,天合光能(688599.SH)：拟4272.78万欧元收购Nclave公司剩余49%股权完成后持其100%股权,格隆汇
1300,2020-09-08,分析：数说中国光伏“藏宝图”,Ofweek
1301,2020-09-08,9家组件企业出货量、技术、产能布局最新数据解析,集邦新能源网
1302,2020-09-04,光伏企业哪家强？86家上市公司85%业绩飘红,北极星电力
1303,2020-09-04,2020年中国光伏行业市场现状及发展前景分析 下半年“抢装潮”将持续改善行业需求,前瞻研究院
1304,2020-09-04,多少落了地？头部企业的扩产与投产状况一览 隆基334.77亿的新产能开始释放,北极星电力
1305,2020-09-04,光伏行业下半年需求将持续改善,中证报
1306,2020-09-03,浩欧博过会:今年科创板过会第107家 华泰联合过13.5单,中国经济网
1307,2020-08-28,数据|科创板主力资金净流出115股天合光能流出率最高,科创板日报
1308,2020-08-28,开放、创新、生态：600W+联盟再添新主题、新成员,工业电器网
1309,2020-08-28,支架第一家！中信博敲钟！盘点12家闯关科创板的光伏企业,北极星电力
1310,2020-08-27,组件龙头天合光能上半年净利翻倍 600W组件订单量近1GW,21世纪经济报道
1311,2020-08-27,天合光能上半年净利同比增长245.81% 将加快先进产能布局,上证报
1312,2020-08-27,鹏辉能源(300438)：客户产能双突破 下半年业绩可期,新浪
1313,2020-08-27,天合光能上半年净利逆市大增2.4倍 引领行业进入600W时代,证券时报网
1314,2020-08-27,天合光能2020年中报发布 净利润同比增长245.81%,电子信息产业网
1315,2020-08-27,天合光能2020年上半年净利4.9亿增长246% 光伏产品及光伏系统业务销售增长,中自网
1316,2020-08-27,天合光能再次发生高管变动 副总经理印荣方辞任 董监高成员变化,GPLP犀牛财经
1317,2020-08-27,半年报净利润4.93亿天合光能：境外销量猛增提升了业绩,科创板日报
1318,2020-08-26,天合光能：上半年净利4.93亿元同比增246%,格隆汇
1319,2020-08-26,天合光能(688599.SH)：上半年净利升245.81%至4.93亿元,格隆汇
1320,2020-08-26,天合光能：上半年净利润同比增长245.81%,Wind
1321,2020-08-24,海优新材购销一体关联交易众多，资产负债率高募投补血不忘分红 偿债能力下降,云掌财经
1322,2020-08-23,天合光能(688599.SH)：印荣方辞任副总经理 董监高成员变化,格隆汇
1323,2020-08-23,天合光能：印荣方辞去公司副总经理职务 董监高成员变化,Wind
1324,2020-08-23,机械行业周报：光伏各环节扩产 电动车换电浪潮来临 关注光伏和换电设备,新浪
1325,2020-08-21,天合光能五连冠 可融资性100%！,北极星电力
1326,2020-08-20,低电压 高串功率 至尊600W+组件产品技术深度解析,北极星电力
1327,2020-08-19,深度*行业*电力设备与新能源行业8月第3周周报：全球新能源汽车景气向上 光伏产业链再提价,新浪
1328,2020-08-19,规划总产能28GW 盐城百佳年代封装胶膜项目（一期）竣工投产,北极星电力
1329,2020-08-18,天合&锦浪助推河北户用光伏市场,索比光伏网
1330,2020-08-17,机械行业周报：光伏扩产积极利好设备 7月挖机销量维持高增长,新浪
1331,2020-08-16,大时代从这里走来∶超大硅片诞生一周年光伏产业回顾,索比光伏网
1332,2020-08-14,天合光能将投资建设年产10GW高效210mm太阳能电池项目,新能源网
1333,2020-08-13,600W+ 引领光伏进入开放创新生态的平价时代,索比光伏网
1334,2020-08-13,天合光能拟投建太阳能电池项目 产能大幅提升巩固行业领先地位,产业经济新闻网
1335,2020-08-12,投建年产10GW高效太阳能电池项目天合光能内部人士：有助控制成本,科创板日报
1336,2020-08-12,天合光能：投资建设总额不超30亿元年产10GW高效210mm太阳能电池项目,格隆汇
1337,2020-08-12,天合光能(688599.SH)：拟投建合计10GW高效210mm大尺寸太阳能电池项目,格隆汇
1338,2020-08-12,600W+超高功率组件和系统集成新技术平台成为光伏行业未来发展的重要方向,北极星电力
1339,2020-08-11,锦浪科技(300763)：持续全球化布局 业绩逆势高增,新浪
1340,2020-08-11,天合光能获SNEC2020十大亮点多项大奖,北极星电力
1341,2020-08-10,光伏行业深度报告：一体化抢占先机，专业化创新破局,新浪
1342,2020-08-10,天合光能至尊系列组件获鉴衡认证首张光伏领跑者一级证书,北极星电力
1343,2020-08-09,“大”出光彩！这些光伏组件新品闪耀SNEC展会第一天,北极星电力
1344,2020-08-09,2020 SNEC | DAY 1 你想看的新品全在这了！,索比光伏网
1345,2020-08-07,江苏省政协主席黄莉新来天合光能考察调研,北极星电力
1346,2020-08-07,高纪凡：坚持四个“不断”引领全球能源变革,北极星电力
1347,2020-08-06,数据|科创板主力资金净流出112股天合光能流出率最高,科创板日报
1348,2020-08-04,光伏胶膜行业“后浪” 海优新材能否比肩行业龙头？,中金在线
1349,2020-08-04,天合光能：计划电池片的产能在2022年底达到约30GW,中国证券网
1350,2020-08-04,阿特斯谋分拆上市 光伏巨头掀回A潮,时代在线
1351,2020-08-03,天合光能：W5-501 2020SNEC老地方见,北极星电力
1352,2020-08-03,十张图了解2020年全球光伏发电产业市场规模与竞争格局 中国光伏容量全球第一,前瞻研究院
1353,2020-08-03,天合光能为意大利最大无补贴光伏电站供应全部86MW光伏组件,北极星电力
1354,2020-07-31,天合光能全球首个210组件生产基地投产 迎多家机构调研,中证网
1355,2020-07-30,至尊组件产能再布局 天合光能义乌制造基地一期投产二期奠基,北极星电力
1356,2020-07-30,义乌天合光能项目一期投产,北极星电力
1357,2020-07-29,天合光能：团结拼搏抗疫情 逆势而上创辉煌,北极星电力
1358,2020-07-28,中国海关出口分析: ：二季度M6组件出口量占比达2GW,中国能源网china5e
1359,2020-07-28,迈为股份(300751)：丝印设备销售较好 2020H1收入大增51%,西南证券
1360,2020-07-27,天合智慧能源获TüV莱茵运维服务商认证,北极星电力
1361,2020-07-24,天合光能(688599.SH)：年报推10派1元股权登记日7月30日,格隆汇
1362,2020-07-24,科创板新星天合光能入选科创能力20强,北极星电力
1363,2020-07-24,天合光能预计2020上半年盈利同比增216.37%至279.51%,资本邦
1364,2020-07-24,天合光能发布上半年业绩公告：预计实现净利4.51亿-5.41亿,集邦新能源网
1365,2020-07-24,最新公告透露利好 13只个股有望爆发（07.24）,中金在线
1366,2020-07-23,天合光能上半年净利润预计增长216.37%以上,北京商报
1367,2020-07-23,天合光能上半年净利预增216%至279%,中国证券网
1368,2020-07-23,天合光能：上半年净利润同比预增216%-280%,格隆汇
1369,2020-07-23,天合光能(688599.SH)：上半年净利预增216.37%至279.51%,格隆汇
1370,2020-07-23,天合光能领跑600W新赛道,北极星电力
1371,2020-07-22,光伏供应链下半年趋紧 组件“尺寸之争”或在明年终结,中国经营网
1372,2020-07-22,天合光能：公司平台和应用均对外提供服务并已产生实质性收入,科创板日报
1373,2020-07-21,天合光能：老牌光伏龙头借力资本再迎爆发,每日经济新闻
1374,2020-07-21,85后一夜身家变300亿 科技创富选哪家？科创“硬核”20强（附股）,每日经济新闻
1375,2020-07-21,新能源光伏行业跟踪周报：光伏组件集采陆续开标,新浪
1376,2020-07-21,科创板开市一周年 科创能力哪家强？这个榜单“正面刚”！,每日经济新闻
1377,2020-07-21,尺寸联盟战：光伏巨头竞与合,时代在线
1378,2020-07-20,【华创机械 | 周观点】光伏全产业链布局趋势显现，光伏设备行业有望迎来新看点,华创机械
1379,2020-07-19,【华西电新|行业观察】新能源：看好光伏需求弹性较大环节及结构性机遇，风电板块多家企业中报业绩高增,睿评电新
1380,2020-07-17,电气设备光伏行业复盘深度报告：技术迭代成本下降 全球共振演绎成长,新浪
1381,2020-07-17,光伏行业侧身迈入6.0时代,中国能源网china5e
1382,2020-07-17,中环股份(002129)重大事项点评：G12优势产能提升 龙头盈利改善潜力有望释放,新浪
1383,2020-07-16,中环股份(002129)公司点评：大步迈向智能制造 G12硅片产能大幅提升,新浪
1384,2020-07-16,数据|科创板主力资金净流出123股天合光能净流出率最高,科创板日报
1385,2020-07-16,天合光能发布600W超高功率组件,中证网
1386,2020-07-16,600W组件来了！,北极星电力
1387,2020-07-15,2020能源互联网趋势TOP100，及2020能源互联网解决方案提供商TOP50推介,硅谷动力
1388,2020-07-15,182mm和210mm，谁能一统硅片江湖？,集邦新能源网
1389,2020-07-14,中环股份(002129)公司研究：切片产能迅速提升 G12大硅片稳步推进,新浪
1390,2020-07-14,天合光能：公司将进一步提升至尊组件的产业化优势,科创板日报
1391,2020-07-13,阿特斯、天合、熊猫绿能、上航电力、江苏林洋、展宇光伏、通威、协鑫“拍了拍”你,北极星电力
1392,2020-07-13,即刻应用 天合光能两地同日投产500W+至尊组件,北极星电力
1393,2020-07-10,光伏产业研究系列报告(8)：系统-双玻正当时 跟踪随风起 高效大时代,新浪
1394,2020-07-10,光伏市值闯进万亿时代 行业巨头组团“回A”,时代周报
1395,2020-07-10,光伏行业突现两大阵营对垒 硅片尺寸之争白热化,中国能源网china5e
1396,2020-07-09,光伏巨头企业相继发布组件新品 谁能一统江湖尚未可知,新浪
1397,2020-07-08,产品创新+模式升级 天合智慧分布式能源线下首秀不负众望,北极星电力
1398,2020-07-08,A股融资融券日报：两融余额增加267.17亿元（7月7日),Wind
1399,2020-07-08,光伏巨头“鏖战”大尺寸硅片产业格局加速洗牌,21世纪经济报道
1400,2020-07-07,光伏产业2020年上半年扩产计划一览,集邦新能源网
1401,2020-07-06,百强创新型企业评比 为什么天合光能一直名列三甲,北极星电力
1402,2020-07-03,与TPG签署7亿美元大单 天合光能海外项目开发模式新飞跃！,中国机经网
1403,2020-07-02,江苏百强创新型企业榜单发布国电南瑞、天合光能、恒瑞医药位列前三,格隆汇
1404,2020-07-02,天合光能光伏组件出货量位居全球前三 拿下7亿美元订单实现境外光伏系统业务突破,长江商报
1405,2020-07-01,天合光能向TPG售出近1GW光伏项目,北极星电力
1406,2020-07-01,科创板晚报|中微公司4月至今累计获政府补助超8千万元中译语通获3.65亿元融资,科创板日报
1407,2020-07-01,天合光能：海外光伏电站项目已有124.3MW左右达到可开工建设状态,科创板日报
1408,2020-07-01,天合光能(688599.SH)：海外光伏电站项目已有124.3MW左右达到可开工建设状态,格隆汇
1409,2020-07-01,TPG旗下“睿思基金”收购天合光能1吉瓦光伏项目,36氪
1410,2020-07-01,天合光能计划2019年分红2.07亿元，与境外公司签订约7亿美元合同,资本邦
1411,2020-07-01,天合光能签订7亿美元大单 于海外建设35个光伏电站,北极星电力
1412,2020-06-30,科创板晚报|中芯国际科创板IPO注册生效天合光能签署约7亿美元海外项目合同,科创板日报
1413,2020-06-30,天合光能(688599.SH)：拟使用不超3亿元闲置募集资金暂补流动资金,格隆汇
1414,2020-06-30,天合光能：签署总额约7亿美元海外光伏电站项目合同,金融界
1415,2020-06-30,天合光能：公司拟与TPG集团签署约7亿美元合同,证券时报网
1416,2020-06-30,天合光能：公司拟每10股分红1元,中证网
1417,2020-06-30,天合光能(688599.SH)：拟与TPG签署合作合同预估合同金额约7亿美元,格隆汇
1418,2020-06-30,天合光能(688599.SH)2019年度利润分配方案：拟每10股派1元,格隆汇
1419,2020-06-29,【金财富决策参考】2020-06-30,赢家之星
1420,2020-06-29,科创板6月上会数创年内新高,北京商报
1421,2020-06-29,电气设备新能源行业周报：光伏竞价项目超预期 特斯拉Q2销量超预期,新浪
1422,2020-06-29,30家科创板公司预告上半年业绩 天合光能等预增,证券时报网
1423,2020-06-28,558亿，20多家光伏公司一季度盈利且谁家表现更好？,和讯
1424,2020-06-28,业内首个500W级超高功率光伏电站解决方案，天合光能TrinaPro Mega正式发布,维库电子市场
1425,2020-06-25,光伏巨头鏖战“尺寸”江湖,中国经营报
1426,2020-06-24,浙商机械 邱世梁||王华君 光伏设备深度：“大尺寸”带来新一轮迭代需求-光伏设备年度策略报告之一,高端装备制造及材料
1427,2020-06-23,深度丨2020年光伏资本市场大热：A股上市企业突破60家 市值超9200亿,21世纪经济报道
1428,2020-06-23,天合“富家”梦 | 寻找启明星⑤,华夏能源网
1429,2020-06-23,天合光能：年初至今暂未与特斯拉就太阳能屋顶项目开展合作,发布易
1430,2020-06-23,天合光能发布业内首个500W级超高功率光伏电站解决方案,美通社
1431,2020-06-22,业内首个500W级超高功率光伏电站解决方案 天合光能TrinaPro Mega正式发布,北极星电力
1432,2020-06-22,热点追踪 | 国产电子气体行业打破国外寡头垄断,红周刊
1433,2020-06-22,苏陕两省党政代表团来天合光能考察调研,中国机经网
1434,2020-06-21,已披露公司三成业绩向好 科创板龙头公司存溢价拔高可能,大众证券报
1435,2020-06-19,天合光能：6月22日线上发布全行业首个500W级系统解决方案,e公司
1436,2020-06-19,数据|科创板主力资金净流出78股天合光能净流出率最高,科创板日报
1437,2020-06-19,天合光能宿迁电池项目一期投产二期奠基,上证报
1438,2020-06-17,电报|科创板主力资金净流出72股天合光能净流出率最高,科创板日报
1439,2020-06-17,科创板：科创板迎来首例并购重组中芯国际将火速完成过会,新浪
1440,2020-06-16,时代IPO周报 | 首发募资56亿，绿的谐波等本周上会，下游增速放缓经营风险攀升,时代在线
1441,2020-06-16,天合光能成功登陆上交所科创板挂牌交易,工业新闻网
1442,2020-06-15,東兴·电新 | 光伏系列报告1：行业规范提标，加速新技术产业化,分析师
1443,2020-06-15,A股融资融券日报：两融余额减少5.93亿元（6月12日),Wind
1444,2020-06-15,云计算“搭台”大数据“唱戏”常州高新区突破发展瓶颈,中国科技网
1445,2020-06-14,【国盛电新|周报】5月新能源车销量继续回升，光伏组件出口环比上升9%,电新硬核研究
1446,2020-06-12,天合光能：科创引领行业，品牌享誉全球,证券市场周刊
1447,2020-06-12,"二十三年，天合光能正在打造自己的""屋顶计划""",凤凰网
1448,2020-06-12,A股融资融券日报：两融余额增加30.2亿元（6月11日),Wind
1449,2020-06-12,6月挖掘机销量增速有望超70%；聚焦龙头【国金机械军工·周报】,国金高端装备制造及新材料
1450,2020-06-11,天合光能正式登陆科创板,中证网
1451,2020-06-11,天合光能挂牌上市，科创板迎来首家光伏企业,钛媒体
1452,2020-06-11,天合光能成功上市科创板,集邦新能源网
1453,2020-06-11,天合光能首发A股登陆科创板,北极星电力
1454,2020-06-11,天合光能将加大光伏系统及智慧能源业务投入,中证网
1455,2020-06-11,天合光能将加大光伏系统及智慧能源业务投入,中证报
1456,2020-06-10,科创板收评：个股多数下跌N天合涨超110%,科创板日报
1457,2020-06-10,科创板新股天合光能上午收盘涨118.75% 半日成交25.83亿元,证券时报网
1458,2020-06-10,全球光伏组件龙头企业天合光能登陆科创板，超高功率组件引领行业迈入光伏5.0时代,红周刊
1459,2020-06-10,6月10日新股提示：联赢激光、泽达易盛、北鼎股份申购 天合光能、中天精装上市 复旦张江、聚合顺公布中签号 神州细胞、帝科股份中签率出炉,上证报
1460,2020-06-10,天合光能今日上市 发行价格8.16元/股,中国证券网
1461,2020-06-10,新股发行与上市一览（6月10日）,Wind
1462,2020-06-10,A股IPO动态：天合光能(688599.SH)和中天精装(002989.SZ)今日上市,格隆汇
1463,2020-06-09,天合光能6月10日起在科创板上市交易,中证网
1464,2020-06-08,天合光能(688599.SH)将于6月10日在科创板上市,格隆汇
1465,2020-06-06,光伏巨头鏖战“尺寸”江湖,中国经营报
1466,2020-06-05,今年以来科创板股首发募资额达452.6亿元,证券时报
1467,2020-06-05,券商“分食”IPO承销保荐蛋糕：前5月最大一单来自科创板 这家券商进账1.58亿,中证报
1468,2020-06-04,券商“分食”IPO承销保荐蛋糕：前5月最大一单来自科创板，这家券商进账1.58亿,中证报
1469,2020-06-03,天合光能或本月中旬上市且超400亿市值 海优威和明冠新材排队科创板,北极星电力
1470,2020-06-03,天合光能（宿迁）组件项目二期投产、三期6GW签约,北极星电力
1471,2020-06-02,帝科股份(300842)：新股询价报告,新浪
1472,2020-06-02,6月2日新股提示：德马科技、宇新股份上市 天合光能中签号出炉 中天精装公布中签率,上证报
1473,2020-06-02,东北证券【新股】6月2日宇新股份、德马科技上市，天合光能缴款,东北证券金融世界
1474,2020-06-01,天合光能中签号出炉 6月2日缴款,证券时报网
1475,2020-06-01,天合光能(688599.SH)：网上摇号中签号码共178055个 华泰创新投资获配930.6万股,格隆汇
1476,2020-06-01,天合光能中签号出炉 超17.8万个,e公司
1477,2020-06-01,光伏企业战胜周期的“秘诀”究竟是什么,集邦新能源网
1478,2020-06-01,6月1日新股提示：中天精装申购 凯迪股份上市 天合光能公布中签率,上证报
1479,2020-06-01,天合光能网上发行最终中签率为0.0783%,中国证券网
1480,2020-05-29,今日新股申购：天合光能,中国经济网
1481,2020-05-29,牛市早报｜大众中国将成国轩高科第一大股东，天合光能今申购,澎湃新闻
1482,2020-05-29,东北证券【新股】5月29日天合光能申购，浙江力诺、燕麦科技等缴款,东北证券金融世界
1483,2020-05-29,5月29日新股提示：天合光能申购 松井股份、燕麦科技、浙江力诺中签号出炉,上证报
1484,2020-05-29,天合光能今日申购 顶格申购需配市值58.5万元,中国证券网
