,2021-12-30,华西证券：给予百隆东方买入评级,证券之星
278,2020-09-22,融资客青睐5股，瑞茂通买入占比高达42.69%,Wind
279,2020-09-21,纺织服装行业周观点报告：纺服零售额增速年内首次转正 继续关注优质运动鞋服企业,新浪
280,2020-09-18,百隆东方(601339.SH)：累计耗资5840.08万元回购1.03%股份,格隆汇
281,2020-09-15,纺织服装行业周报：国际体育赛事启动 持续刺激终端消费,新浪
282,2020-09-14,纺织服装9月第一周周报：Q2营收、净利润降幅收窄 现金流改善明显,新浪
283,2020-09-08,纺服零售行业2020中报综述：电商唱主角 数字化升级变革影响深远 必选消费持续稳健,新浪
284,2020-09-07,纺织服装行业动态报告：优衣库日本8月同店增长强劲 龙头复苏大幕开启,新浪
285,2020-09-02,百隆东方(601339.SH)截至8月末累计斥资2224.86万元回购585.91万股,格隆汇
286,2020-08-28,百隆东方：公司独立董事辞职 董监高成员变化,Wind
287,2020-08-26,百隆东方(601339)：Q2收入降幅收窄 疫情负面影响逐步消化,新浪
288,2020-08-24,百隆东方(601339.SH)半年度净利润降39.31%至1.36亿元 盈利能力下降,格隆汇
289,2020-08-24,百隆东方：上半年净利润同比减少39.31% 盈利能力下降,Wind
290,2020-08-10,纺织服装周度观点：阿迪达斯Q2电商收入大增93% 大中华区恢复至同比持平,新浪
291,2020-08-06,中小盘增发并购双周报：定价定增严监管 市场化的竞价定增受益,新浪
292,2020-08-03,百隆东方(601339.SH)截至7月底累计回购406.09万元的股份,格隆汇
293,2020-08-03,纺织服装业：LVMH亚洲复苏 服装新零售蓬勃发展,新浪
294,2020-08-03,纺织服装行业：国内外金价创历史新高 继续推荐黄金珠宝板块与高景气赛道龙头,新浪
295,2020-07-29,百隆东方(601339.SH)首次回购90.27万股涉资333.70万元,格隆汇
296,2020-07-23,百隆东方(601339)：将花不超1.5亿元回购公司股份,挖贝网
297,2020-07-23,上市公司正负面新闻2020年7月23日星期四,Wind
298,2020-07-22,晚间重要公告2020年7月22日星期三,Wind
299,2020-07-22,百隆东方：拟以7500万元-1.5亿元回购公司股份,金融界
300,2020-07-22,百隆东方(601339.SH)拟回购7500万-15000万元的股份,格隆汇
301,2020-07-22,百隆东方：拟7500万元至1.5亿元回购股份,e公司
302,2020-07-13,纺织服装行业周度观点：迅销FY19-20Q3单季亏损 优衣库大中国区5月恢复正增长 亏损,新浪
303,2020-07-11,纺织服装行业7月第二周周报：网络直播自律规范开始实施 代运营企业若羽臣成功过会,新浪
304,2020-07-04,纺织服装2020年中期策略：看好龙头韧性 分享运动成长,新浪
305,2020-06-12,纺织服装行业6月第二周周报：5月纺织品出口继续增长 服装下滑,新浪
306,2020-05-26,融资融券周报2020年第20周,新浪
307,2020-05-21,纺织服装行业5月第三周周报：4月可选消费品增速环比改善 上海“五五购物节”获阶段性成效,新浪
308,2020-05-15,纺织服装行业5月第二周周报：受防疫物资出口拉动 4月纺织品出口同升,新浪
309,2020-04-28,【光大纺服|19年报及20Q1业绩点评】百隆东方：短期业绩下滑存在压力，二季度外需不确定性加大 盈利能力下降,纺服婕报
310,2020-04-28,【国君纺服】百隆东方2020年一季报点评：疫情影响国内销售承压，海外市场表现平稳,纺服好声音
311,2020-04-28,百隆东方(601339)：一季度净利降41.94%至7129.89万元 盈利能力下降,格隆汇
312,2020-04-27,百隆东方(601339.SH)一季度净利降41.94%至7129.89万元 盈利能力下降,格隆汇
313,2020-04-27,百隆东方：一季度净利润同比减少41.94% 盈利能力下降,Wind
314,2020-04-26,百隆东方(601339)：坯纱产品营收增加58.78% 越南工厂产能逐步释放,证券日报
315,2020-04-24,【国君纺服】百隆东方2019年报点评：棉花期货亏损拉低业绩，越南产能有序落地 亏损,纺服好声音
316,2020-04-24,百隆东方坯纱产品营收增加58.78% 越南工厂产能逐步释放,证券日报
317,2020-04-23,百隆东方(601339)：董事辞职 董监高成员变化,新浪
318,2020-04-22,百隆东方：公司董事辞职,Wind
319,2020-04-22,百隆东方(601339)：2019年净利润同比下降31.93% 拟每10派0.6元 盈利能力下降,新浪
320,2020-04-21,百隆东方：拟使用自有资金开展棉花期货业务 稳定棉花供给,发布易
321,2020-04-21,百隆东方：2019年净利润同比下降31.93% 拟每10派0.6元 盈利能力下降,中证网
322,2020-04-21,百隆东方(601339.SH)2019年度净利润降31.93%至2.98亿元拟10派0.6元 盈利能力下降,格隆汇
323,2020-04-21,百隆东方：2019年净利润同比减少31.93% 盈利能力下降,Wind
324,2020-03-27,3月27日A股龙虎榜揭秘，机构抛售13股,Wind
325,2020-03-27,百隆东方龙虎榜数据（3月27日）,Wind
326,2020-03-23,融资客青睐7股，赣能股份买入占比高达40.91%,Wind
327,2020-02-23,财融汇·日间资讯,财通证券融资融券部
328,2020-01-22,融资客青睐11股，岳阳林纸买入占比高达50.01%,Wind
329,2020-01-10,百隆东方获“品字标”品牌“自我声明”授权,全球纺织网
330,2020-01-09,百隆东方(601339.SH)：董事长杨卫新将不再担任总经理一职 由杨勇接任,格隆汇
331,2019-12-24,【申万宏源纺服】壹网壹创(300792)深度：美妆代运营领导者，数据驱动+创意赋能铸造竞争壁垒,申万宏源纺织服装
332,2019-12-20,纺织制造板块异动华升股份涨停，四类股机会仍存,第一财经
333,2019-12-09,安踏体育(02020:HK) ：品牌销售火爆，业绩再次超预期,申万宏源纺织服装
334,2019-12-09,融资客青睐11股，陕西煤业买入占比高达46.63%,Wind
335,2019-12-05,融资客青睐20股，金种子酒买入占比高达55.29%,Wind
336,2019-11-13,2019年双十一数据深度解析：渠道流量多元化，化妆品成为新宠,申万宏源纺织服装
337,2019-11-04,商业零售：国货化妆品崛起 荐12股,中信建投
338,2019-10-29,百隆东方 (601339)：棉花套保亏损持续影响业绩，越南产能稳步投放 亏损,申万宏源纺织服装
339,2019-10-25,【健盛集团】业绩点评：19年前三季度业绩超市场预期，盈利能力持续提升,吕明可选消费研究
340,2019-10-24,"纺织服装行业10月第三周周报:前三季度化妆品增速亮眼,服装增速同比下降",长城证券
341,2019-10-15,东盟自贸区概念股走强,Wind
342,2019-09-26,日常消费品：期待后续节假日及电商节拉动 荐24股,中信建投
343,2019-09-23,【申万宏源纺服】化妆品行业深度：化妆品景气度将持续，社媒助力国货黄金时代来临,申万宏源纺织服装
344,2019-09-18,海澜之家 (600398)：剥离盈利能力较弱的爱居兔女装，聚焦优势业务,申万宏源纺织服装
345,2019-09-08,【申万宏源纺服】2019中报回顾：存量竞争剩者为王，看好运动与化妆品赛道,申万宏源纺织服装
346,2019-08-26,百隆东方：“16百隆01”于9月3日提前摘牌,Wind
347,2019-08-25,百隆东方(601339.SH)：“16百隆01”将于9月3日提前摘牌,格隆汇
348,2019-08-23,【申万宏源纺服】行业周报：外资持续增持板块，中报预览关注业绩靓丽标的,申万宏源纺织服装
349,2019-08-23,"纺织服装行业8月第三周周报:19H1服装行业零售额小幅增长,雅诗兰黛业绩亮眼",长城证券
350,2019-08-16,【申万宏源纺服】行业周报：7月服饰社零增长平淡，线上零售持续高增长,申万宏源纺织服装
351,2019-08-16,【长城纺服|周报】8月第三周周报——19H1服装行业零售额小幅增长，雅诗兰黛业绩亮眼,妍习时尚
352,2019-08-16,"纺织服装行业8月第二周周报:电商大促透支需求,7月服装、化妆品增速环比放缓",长城证券
353,2019-08-09,"天风证券：将百隆东方评级调低为""增持""",Wind
354,2019-08-09,百隆东方(601339)：上半年净利减少31.14% 盈利能力下降,格隆汇
355,2019-08-08,百隆东方：公司监事变更,Wind
356,2019-08-08,百隆东方(601339.SH)上半年净利润降31.14%至2.24亿元 盈利能力下降,格隆汇
357,2019-08-08,百隆东方：上半年净利润同比减31.14%,Wind
358,2019-08-02,"纺织服装行业7月第五周周报:CBME孕婴童展开幕,宝洁、欧莱雅收入增速超预期",长城证券
359,2019-07-24,百隆东方：上调“16百隆01”的票面利率至3.9%,Wind
360,2019-07-23,公募基金二季度重仓股曝光：419家上市公司入列！持股比例环比上升1.61%,重庆商报
361,2019-07-22,"纺织服装行业:消费现韧性,低估值锁定品牌服装下行风险,关注半年报高增长个股",东吴证券
362,2019-07-19,【天风纺服】周报：6月社零服装增速环比有所改善，继续推荐中报超预期标的,吕明可选消费研究
363,2019-07-15,"纺织服装行业:成长组表现依旧亮眼,价值组六月基本面情况有所好转",东吴证券
364,2019-07-12,【长城纺服|周报】7月第三周周报——6月服装社零增速环比略升，化妆品增速继续加快,妍习时尚
365,2019-07-11,【申万宏源纺服】纺织服装行业2019年中报前瞻：可选消费企稳，精选赛道看好运动化妆品,申万宏源纺织服装
366,2019-07-11,服装纺织：可选消费企稳 精选赛道看好运动化妆品,申万宏源
367,2019-07-10,[互动]百隆东方：PTA期货暴跌 对公司业绩影响不大,金融界
368,2019-07-09,"纺织服装行业:短期掘金中报季高增长,长期中国消费龙头仍有空间",东吴证券
369,2019-07-05,【长城纺服|周报】7月第二周周报——Chanel美妆入驻天猫，Puma一季度表现亮眼,妍习时尚
370,2019-07-04,铂力特应收账款周转率行业最低 近四成净利依赖补助,长江商报
371,2019-06-28,"纺织服装行业6月第四周周报:618大促落幕,阿迪、耐克等成交额过亿,美妆增长强劲",长城证券
372,2019-06-11,6月以来170家公司年报遭问询 偿债能力是关键点 问询,大众证券报
373,2019-05-25,【长城纺服|周报】5月第三周周报——4月社零增速放缓，化妆品增速仍较快,妍习时尚
374,2019-05-23,公司债回售存资金压力！百隆东方撤出部分投资 偿债能力下降,Wind
375,2019-05-22,应对公司债券到期回售 百隆东方提前退出部分投资“筹款”,e公司
376,2019-05-22,百隆东方：为应对“16百隆01” 到期 公司收回部分投资,e公司
377,2019-05-20,【申万宏源纺服】行业周报：4月社零受节假日影响增速回落，5月有望反弹，继续推荐高端复苏及大众白马,申万宏源纺织服装
378,2019-05-13,百隆东方：2018年年度权益分派实施公告,上交所
379,2019-05-06,A股市场破净股一览（5月6日）,Wind
380,2019-04-28,百隆东方一季度净利1.2亿同比增长40% 现金流量净额-3.5亿,挖贝网
381,2019-04-26,【天风纺服】行业报告：板块基金持仓仍维持低位，龙头公司持仓相对集中,吕明可选消费研究
382,2019-04-26,百隆东方：第三届董事会第二十一次会议决议公告,上交所
383,2019-04-25,【长城纺服|周报】4月第四周周报—3月出口数据回暖，高端化妆品拉动宝洁收入规模增长,妍习时尚
384,2019-04-25,百隆东方(601339.SH)一季度净利润升39.85%至1.23亿元,格隆汇
385,2019-04-25,百隆东方：一季度净利润同比增39.85%,Wind
386,2019-04-24,百隆东方：延期回复上海证券交易所2018年报事后问询函 问询,Wind
387,2019-04-23,服装纺织：纺织服装行业1Q19公募基金持仓分析 荐4股,广发证券
388,2019-04-16,年报揭秘阳光私募布局新动向 券商集中唱多17只股,证券日报
389,2019-04-05,主营3D打印 80后掌舵：铂力特携6只A股闯关科创板,新京报
390,2019-03-29,【长城纺服|周报】3月第四周周报——运动品牌龙头大中华地区表现强劲,妍习时尚
391,2019-03-26,"国泰君安：将百隆东方评级调低为""中性"" 投资评级恶化",Wind
392,2019-03-22,"纺织品、服装与奢侈品行业周报:高基数及电商拖累服装零售,预计全年增速前低后高",正点财经
393,2019-03-22,百隆东方去年净利4.38亿同比减10% 董事长杨卫新年薪161万元 盈利能力下降,挖贝网
394,2019-03-21,百隆东方(601339.SH)2018年净利润降10.3%至4.38亿元 拟10派0.88元 盈利能力下降,格隆汇
395,2019-03-21,百隆东方：2019年度为子公司提供不超过78.43亿元担保 大额借贷担保,Wind
396,2019-03-21,百隆东方：2018年净利润同比减10.30% 盈利能力下降,Wind
397,2019-03-19,【长城纺服|周报】3月第三周周报——2019年1-2月化妆品景气延续，服装增速有所放缓,妍习时尚
398,2019-03-13,纺织品、服装与奢侈品行业海外观察18q4:奢侈品加速回流、运动持续景气、快时尚较低迷,正点财经
399,2019-03-08,【长城纺服|周报】3月第一周周报——森马即将纳入MSCI，2月国货化妆品线上销售整体改善,妍习时尚
400,2019-03-07,最牛低价股飙涨近10倍！最新低价低位的绩优滞涨股名单来了,证券时报
401,2019-02-23,建言科创板之一《征求意见稿》存漏洞 寻租空间需堵上,红周刊
402,2019-02-21,"纺织服装行业2月第二周周报:欧莱雅、雅诗兰黛业绩靓丽,高端化妆品增长强劲",长城证券
403,2019-02-02,服装纺织：Q4板块重仓基金数基本持平 持股数及市值提升,和讯
404,2019-01-30,【纺服】社零数据逐步启稳，提前布局业绩底公司,天风研究
405,2019-01-25,服装纺织：公募基金2018年四季度纺织服装行业持仓分析,和讯
406,2019-01-24,"2018q4纺织服装公募基金重仓持股分析:维持低配,纺织子行业重仓数量增加",长城证券
407,2019-01-17,"纺织服装行业周报:优衣库因暖冬天气承压,中国大陆市场双位数增长领跑",申万宏源
408,2019-01-15,纺织服装行业1月第三周周报:纺织服装板块现回购潮,长城证券
409,2019-01-14,服装纺织：年货节活动开启 有望带动服装家纺业绩回暖,万联证券
410,2019-01-11,服装纺织：纺织服装行业2018年报前瞻 荐3股,和讯
411,2019-01-10,百隆东方炒期货亏逾7000万悬疑未解 财报隐忧又现,投资者报
412,2019-01-10,"纺织服装行业周观点:元旦开启年货采购潮,行业销售预期复苏",万联证券
413,2019-01-08,百隆东方“炒”期货拖累业绩 公司存货占流动资产超六成,财经网
414,2019-01-07,A股市场破净股一览（1月7日）,Wind
415,2019-01-07,百隆东方投资期棉浮亏七千万 翻身依然有机会,国际金融报
416,2019-01-07,纺织服装行业1月第一周周报:棉花生产进一步向新疆集中,长城证券
417,2019-01-06,中石化附体？百隆东方豪赌期货巨亏 主管风控的董事长竟不懂金融？ 重大损失,中金在线
418,2019-01-04,黑天鹅又来了！百隆东方炒棉花浮亏7108万,华夏时报
419,2019-01-04,又是套保惹的祸？一家公司“栽”了，但为啥这家同行却赚得多,每日经济新闻
420,2019-01-04,百隆东方炒棉花浮亏7108万 华孚时尚套保赚6631万,新浪
421,2019-01-04,A股游走套保年度盈亏互现 衍生品投资监管亟待升级,21世纪经济报道
422,2019-01-03,去年棉花期货“坐过山车”，两公司做套保一家大赚另一家却浮亏7100万元！ 亏损,每日经济新闻
423,2019-01-03,侃财丨百隆东方棉花期货亏的钱，可能被他赚走了,证券时报网
424,2019-01-03,棉花价格下行 华孚时尚套期保值盈利6631万元,e公司
425,2019-01-03,百隆东方也栽在这只黑天鹅上了！,和讯
426,2019-01-03,【股添乐评】两股上市一年遭大股东清仓减持 新的宇宙总龙头诞生了 减持股份,中金在线
427,2019-01-03,囤棉花期货浮亏7108万、股价几近跌停，百隆东方的详细回应来了 亏损,每日经济新闻
428,2019-01-03,百隆东方炒期货亏损触跌停 汇丰晋信中国平安踩雷 亏损,中国经济网
429,2019-01-03,炒期货浮亏7108万元 百隆东方股价触及跌停 亏损,金融界
430,2019-01-03,快讯：百隆东方炒期货浮亏7108万元 股价大跌超9% 亏损,新浪
431,2019-01-03,百隆东方跌停，2018年底棉花期货持仓浮亏7100万元,Wind
432,2019-01-03,棉花期货持仓合约浮亏逾7000万元，百隆东方低开近6%,Wind
433,2019-01-02,利空公告：百隆东方2018年“炒”棉花期货浮亏7108万 亏损,金融界
434,2019-01-02,百隆东方：2018年底棉花期货持仓合约浮亏7100万元 亏损,e公司
435,2019-01-02,百隆东方：持有的棉花期货持仓合约浮亏7108万元，对业绩产生较大影响,Wind
436,2018-12-29,"纺织服装行业2019年投资策略报告:穿越迷雾,探寻曙光",正点财经
437,2018-12-28,【天风纺服】纺织服装2019年年度策略：寻找业绩底后的长期增长机会,Wind
438,2018-12-27,"纺织服装行业12月第四周周报:多项利好稳定需求信心,板块具防御性",长城证券
439,2018-12-26,"纺织服装行业2019年度投资策略:消费分层时代,服装龙头享价值增长",正点财经
440,2018-12-26,服装纺织：纺织服装行业股息率研究 荐7股,和讯
441,2018-12-20,"纺织服装行业12月第三周周报:USDA下调棉花产销量,服装社零增速环比回升",长城证券
442,2018-12-18,"纺织服装行业周报:11月纺服零售额增速回升,气温下降冬装销售正当时",浙商证券
443,2018-12-13,"纺织服装行业周报:行业短期承压,长期龙头企业增长空间依旧可期",浙商证券
444,2018-11-30,机构评级精选：业绩稳定增长 多家上市公司获买入评级,巨丰财经
445,2018-11-30,券商首次关注2股并给予买入评级（11月30日）,Wind
446,2018-11-27,[路演]百隆东方：越南色纺纱需求将保持较快增长,全景网
447,2018-11-22,纺织服装行业11月第三周周报:10月社零增速继续放缓,长城证券
448,2018-11-20,"纺织服装行业周报:服装消费平淡,继续强调海内外电商龙头投资机会",申万宏源
449,2018-11-14,14股获券商买入评级 思创医惠目标涨幅达89.75%,Wind
450,2018-11-13,百隆东方：前瞻布局越南产能 兼具成长与周期,国泰君安
451,2018-11-05,服装纺织：电商龙头强者恒强 荐7股,申万宏源
452,2018-11-05,服装纺织：消费疲弱背景下 需逢低配置优质低估值个股,银河证券
453,2018-10-30,纺织服装行业10月第三周周报:“门店数字化”转型在即,正点财经
454,2018-10-24,百隆东方：前三季度净利润同比增20.15%,Wind
455,2018-10-24,百隆东方：汇兑损失大幅减少提升利润水平 买入评级,广发证券
456,2018-10-11,A股市场破净股一览（10月11日）,Wind
457,2018-10-10,服装纺织：逢低配置低估值龙头 荐3股,国信证券
458,2018-10-09,"纺织服装行业周报:服务业PMI表现平稳,继续推荐细分龙头",正点财经
459,2018-09-26,"纺织服装行业周报:促进消费政策拟出台,9月USDA预测我国明年棉花供需继续偏紧",光大证券
460,2018-09-25,"纺织服装行业周报:社零数据平淡,依旧推荐龙头低估值标的",浙商证券
461,2018-09-19,纺织服装行业9月第三周周报:“中国潮”劲吹纽约时装周,长城证券
462,2018-09-17,服装纺织：8月社零服装增长表现平淡 荐10股,申万宏源
463,2018-09-05,服装纺织：制造龙头有望量价齐升 荐10股,申万宏源
464,2018-09-03,服装纺织：继续推荐卡位优质赛道的细分龙头 荐10股,申万宏源
465,2018-09-02,服装纺织：品牌零售景气度延续 荐10股,广发证券
466,2018-08-28,【纺服*马莉】中报披露过半，生产型企业越南盈利成为亮点、新模式企业值得关注,东吴研究所
467,2018-08-27,[看好评级]纺织服装行业周报：板块上周跌幅第一超跌明显 基本面良好具备修复空间,中财网
468,2018-08-21,[看好评级]纺织服装行业周报：7月社零数据服装消费企稳 继续看好板块估值修复,中财网
469,2018-08-20,纺织服装行业周报：18Q2奢侈品检索量显著增长 7月鞋服零售增9% 人民币创新低,中财网
470,2018-08-13,服装纺织：50家数据影响板块错杀明显 荐11股,申万宏源
471,2018-08-13,纺织服装行业周报：7月50家重点企业服装零售下滑较明显、纺服出口继续回暖,中财网
472,2018-08-10,纺织服装行业:为什么我们在当下时点强烈看好生产型龙头,东吴证券
473,2018-08-07,"纺织服装行业周报:纺织制造有望迎来双击,高端服饰具备穿越周期属性",申万宏源
474,2018-08-06,"纺织服装行业周报:国际大牌18H1业绩继续靓丽,国储棉轮出延长一月",光大证券
475,2018-08-03,研报精选 6股值得关注（08.03）,中金在线
476,2018-08-03,军工等三行业成两低一高股营地 三只股值得关注,证券之星
477,2018-08-03,【百隆东方（601339）】越南产能节奏调整影响收入，2季度汇率贬值带来业绩改善,中信证券研究
478,2018-08-03,"百隆东方:18h2起越南加速投产,生产型龙头代表进入稳健增长期",东吴证券
479,2018-08-02,百隆东方：2018年半年度主要财务指标,上交所
480,2018-08-02,百隆东方：上半年净利润同比增5.67%,Wind
481,2018-07-31,[推荐评级]纺织服装行业“时尚半月谈”8月上期：龙头终端运转良性 中报期将迎来估值修复期,中财网
482,2018-07-30,[看好评级]纺织服装行业周报：纺织制造行业格局向好 优质龙头配置价值凸显,中财网
483,2018-07-24,纺织服装行业专题研究：公募基金2018年二季度纺织服装行业持仓分析,中财网
484,2018-07-17,"纺织服装行业周报:走进越南系列报告发布,纺织龙头积极布局越南",申万宏源
485,2018-07-11,[推荐评级]纺织服装行业周报：汇率变动利好纺织出口 关税落地棉价短期承压,中财网
486,2018-07-10,[优于大市评级]纺织与服装行业周报：18H1业绩前瞻 品牌服饰业绩稳定 纺织制造或有回升,中财网
487,2018-07-06,7月6日有67家公司获重要股东增减持 蓝光发展已被连续增持57次,Wind
488,2018-07-03,[看好评级]纺织服装行业周报：人民币贬值有利出口制造龙头 品牌服饰有望兑现中报较快增长,中财网
489,2018-07-03,[推荐评级]纺织服装行业周报：服装家纺稳健复苏 棉价上行短期承压,中财网
490,2018-07-02,[看好评级]纺织服装行业周报：人民币贬值利好出口 纺织龙头直接受益,中财网
491,2018-07-02,[领先大市-A评级]纺织服装行业动态分析：中美贸易摩擦不改全球棉花供需偏紧格局 人民币贬值利好出口,中财网
492,2018-07-02,纺织服装行业周报：人民币贬值关注出口型企业受益幅度 5月重点企业服装零售额下降,中财网
493,2018-06-27,[推荐评级]方正证券纺织服装行业周报：家纺产业望迎良性循环 棉价面临上行压力,中财网
494,2018-06-27,巨丰收评：蓝筹股杀跌坚决 沪指击穿2800点,巨丰财经
495,2018-06-27,纺织品、服装与奢侈品行业周报：品牌服饰龙头有望获得确定性溢价,中证网
496,2018-06-27,[看好评级]纺织服装行业周报：618线上线下联动叠加多节假日 新零售带动消费整体向好,中财网
497,2018-06-25,"纺织服装行业周报:品牌服饰行业复苏周期继续,需求持续增长,关注配置机会",光大证券
498,2018-06-25,"纺织服装行业:震荡行情下更应聚焦龙头,新增重点推荐波司登",东吴证券
499,2018-06-20,"纺织服装行业周报:中美贸易摩擦加剧、美棉进口拟加税,我国奢侈品市场加速增长",光大证券
500,2018-06-19,"纺织服装行业:品牌服饰龙头个股小幅回调不改长期推荐逻辑,美棉进口加征关税带来棉价上行压力",东吴证券
501,2018-06-13,[增持评级]纺织服装行业动态周报：降低关税提振消费 精选赛道 坚守优质龙头,中财网
502,2018-06-12,百隆东方：子公司恢复正常生产 明日复牌,e公司
503,2018-06-12,百隆东方：下属子公司临时停产一天，6月13日起复牌,Wind
504,2018-06-12,交易提示：百隆东方、吉药控股临时停牌,e公司
505,2018-06-12,百隆东方、吉药控股今日临停,Wind
506,2018-06-11,[增持评级]2018年中期投资策略报告之纺织服装行业篇：分化时代 精选赛道 坚守龙头,中财网
507,2018-06-11,"纺织服装行业周报:增加棉花进口配额致棉价短期回调,5月我国纺服出口增0.44%",光大证券
508,2018-06-11,"纺织服装行业:品牌服饰市场认同度逐步提升,棉价小幅波动不改长期趋势",东吴证券
509,2018-06-07,"纺织服装行业:再谈品牌服饰股票的定价,龙头正处于报表质量改善+估值提升的戴维斯双击阶段",东吴证券
510,2018-06-06,纺织服装行业:滞涨低估值白马配置价值凸显,申万宏源
511,2018-06-04,纺织服装行业周报：棉花期现货加速涨价 瑞士表进口4月回升 消费品进口关税下调,中财网
512,2018-06-04,储备棉轮出新政出台 四股有望率先受益,证券时报
513,2018-06-03,人民币贬值对纺企经营影响分析,微信
514,2018-05-30,富时A50指数实时行情分析：医药板块分化显著（金盛金银）,金投网
515,2018-05-28,纺织服装行业专题研究：棉花价格短期震荡 不改中长期向好 利好下游棉纱类企业,中财网
516,2018-05-25,棉花涨价概念股|估值低+原材料涨价成牛股流水线 棉花涨价组合可期？,证券时报
517,2018-05-22,纺织服装行业2017年报及2018一季报深度剖析：品牌复苏持续推进 行业进入良性循环,中财网
518,2018-05-22,纺织服装行业周报：现货棉花价格小幅上涨 关注棉价上涨相关受益标的,中财网
519,2018-05-22,纺织服装行业:国内外需求复苏态势延续,长江证券
520,2018-05-17,库存下降、需求增加棉花期货大涨，多股有望受益,Wind
521,2018-05-17,棉花产业链跟踪报告：棉价上涨预期渐强 关注纺织低估值龙头,中财网
522,2018-04-26,A股市场破净股一览(4月26日),Wind
523,2018-04-25,百隆东方：一季度净利润同比减22.72%,Wind
524,2018-04-24,百隆东方：2017年净利润同比减19.38%,Wind
525,2018-04-08,服装纺织：贸易反制背景下棉价走势及纺企影响分析 荐6股,和讯
526,2018-03-15,【海通纺服 深度】品牌服饰涅槃重生系列Ⅰ——渐进升级适逢其时，品牌服饰否极阳回,微信
527,2018-03-13,【纺服*马莉团队】板块推荐逻辑得到业绩快报持续验证，年报及一季报将成重要催化,东吴研究所
528,2018-03-12,天风纺服||【华孚时尚】新疆产能释放 尽享政策红利 贯穿全产业链意在打造一站式时尚运营商,微信
529,2018-03-12,【海通纺服 公告点评】海澜之家：2017年单四季度业绩改善，单季度净利润同比增长15%,微信
530,2018-03-12,[增持评级]纺织服装行业周报：板块推荐逻辑得到业绩快报持续验证 年报及一季报将成重要催化,中财网
531,2018-03-12,"纺织服装行业:板块推荐逻辑得到业绩快报持续验证,年报及一季报将成重要催化",东吴证券
532,2018-03-04,【海通纺服】周观点201808：重点推荐品牌龙头及新模式标的,微信
533,2018-03-04,【海通纺服 公告点评】罗莱生活：2017年净利润超预期，同比预增35%,微信
534,2018-02-27,【海通纺服 公告点评】跨境通：全年净利润增长小幅超预期，单四季度加速发力,微信
535,2018-02-25,【海通纺服 行业周报】线下品牌迎消费升级新机遇,微信
536,2018-02-06,【国信宏观固收】人民币升值对信用债影响研究,国信固收研究
537,2018-01-31,【浙商纺服】纺服板块龙头大涨点评,浙商证券研究所
538,2018-01-30,[增持评级]纺织与服装行业周报：重申品牌全面复苏 汇率波动影响出口企业利润,中财网
539,2018-01-25,人民币升破6.4 企业迎汇率风险考验,新京报
540,2018-01-21,【海通纺服】周观点201803：2017年业绩前瞻，零售品牌全面复苏,微信
541,2018-01-15,纺织服装行业2017年报前瞻：冷冬催化品牌零售复苏加强汇兑损失影响出口表现,中财网
542,2018-01-08,特朗普的强势推动，正在杀死某些A股上市公司,新浪
543,2018-01-08,纺织和服装行业周报：德国查封百家中国跨境电商卖家关注家纺行业投资机会,中财网
544,2018-01-08,"纺织服装行业周报:终端需求持续向好,继续推荐中高端品牌与制造细分龙头",中国网
545,2018-01-07,【海通纺服】周观点201801：关注解禁时间表，把握相关标的投资机会,微信
546,2018-01-05,百隆东方投资有限合伙企业赚了1.33亿 不抵1.5亿汇兑损失,每日经济新闻
547,2018-01-03,百隆东方去年投资收益丰厚 无奈汇率波动损失1.5亿元,e公司
548,2018-01-03,百隆东方：预计2017年形成汇兑损失1.5亿,Wind
549,2018-01-01,【海通纺服】周观点201751：新年寻找仍处价值洼地品种,微信
