,2021-12-31,正泰电器：以集中竞价交易方式回购公司股份,资本邦
494,2021-01-29,中泰证券--电力设备新能源周观察：硅料价格持续上涨，关注大众MEB供应链【行业研究】,金融界股吧
495,2021-01-28,A股收盘综述：上证指数跌近2%，险守3500点,Wind
496,2021-01-28,中银证券--电力设备与新能源行业1月第4周周报：2020年全国新增风、光装机71.67GW、48.20GW【行业研究】,金融界股吧
497,2021-01-28,A股午盘综述：上证指数跌1.48%，创业板指跌2.72%,Wind
498,2021-01-27,正泰电器预计2020年度净利同比增70.46%-86.40%,北极星电力
499,2021-01-25,电力设备及新能源行业周报：风光装机超预期 储能补贴始出台,新浪
500,2021-01-25,深度*行业*电力设备与新能源行业1月第4周周报：2020年全国新增风、光装机71.67GW、48.20GW,新浪
501,2021-01-25,电力设备新能源行业周观察：硅料价格持续上涨 关注大众MEB供应链,新浪
502,2021-01-25,安信证券：电新板块欣欣向荣青眼有加龙头,金融界
503,2021-01-25,周报（2021.1.25）-六氟磷酸锂价格再涨，光伏硅料回暖,电新产业研究
504,2021-01-22,【焦点复盘】资金重回抱团！连板空间进一步压缩，科技股集体杀跌 连续下跌,财联社
505,2021-01-21,正泰电器：2020年净利同比预增70.46%-86.4%,北极星电力
506,2021-01-21,电力电气设备、公用事业行业：2020年风电新增装机超预期 电网对新能源接纳态度改善,新浪
507,2021-01-21,正泰电器(601877)：2020年归母净利润或同比增长70.5%-80.4% 户用市场展望乐观,新浪
508,2021-01-21,A股早报2021年1月21日星期四,Wind
509,2021-01-21,正泰电器：全资子公司签订约40.59亿元单晶硅片采购合同,资本邦
510,2021-01-20,晚间重要公告2021年1月20日星期三,Wind
511,2021-01-20,正泰电器2020年净利预增70%至86%,上证报
512,2021-01-20,正泰电器：预计2020年净利61.12亿至70.12亿元，同比增长70.46%到86.4%,上游新闻
513,2021-01-20,正泰电器(601877.SH)签订总价值40.59亿元的单晶硅片采购合同,智通财经
514,2021-01-20,正泰电器(601877.SH)预计2020年度归母净利润同比增长70.46%到86.40%,智通财经
515,2021-01-20,正泰电器：预计2020年净利润64.12亿元到70.12亿元，同比增加70.46%到86.40%,Wind
516,2021-01-20,正泰电器(601877.SH)：子公司与弘元新材签订单晶硅片采购合同预估合同总额为40.59亿元,格隆汇
517,2021-01-18,电力设备及新能源行业周报：上海目标2025年碳达峰 现代在粤设燃电生产基地,新浪
518,2021-01-15,A股第四家千亿市值光伏公司诞生背后：机构“抱团” 泡沫几何？,Wind
519,2021-01-13,新能源与电力设周报：电动车中游趋势不改，其余方向机会均衡（2021年1月第3周）,电新产业研究
520,2021-01-12,正泰电器：智能电气解决方案集大成者,申建国电新团队
521,2021-01-11,电力设备及新能源行业周报：12月风光装机超预期 国际巨头加速布局氢能,新浪
522,2021-01-11,电力设备新能源周观察：欧洲电动车销量超预期 光伏行业高景气,新浪
523,2021-01-11,新能源行业周度点评报告：碳排放管理办法出台 能源转型势在必行,华安证券
524,2021-01-08,今日能源看点：国网公示2021年首批可再生能源发电补贴项目清单！江苏发布“十四五”可再生能源规划征求意见稿！,国际能源网
525,2021-01-07,正泰电器：加码国际业务，提速创新裂变,新浪
526,2021-01-06,正泰电器转让研发中心100%股权予正泰集团 资产异常,乐居财经
527,2021-01-04,正泰电器(601877.SH)：拟开展商品期货套期保值业务,格隆汇
528,2020-12-31,电力电气设备、公用事业行业：发电行业碳配额最终方案无修改落地 短期火电盈利影响有限,新浪
529,2020-12-31,正泰电器拟参与国网浙江综合能源服务有限公司20%股权项目竞拍,北极星电力
530,2020-12-28,华云电力、正泰电器正式签约！国网浙江综合能源服务公司完成混改,北极星电力
531,2020-12-27,电力设备行业动态分析：行业需求有望10%+ 龙头企业加速国产替代,新浪
532,2020-12-24,正泰电器(601877.SH)：控股股东完成可交债质押专户剩余股份解除质押,格隆汇
533,2020-12-24,正泰电器：加码国际业务 提速创新裂变,中证网
534,2020-12-24,高科技、轻资产、强服务、平台化正泰电器如何蓄势再出发？ 南存辉给出12字战略密钥,上证报
535,2020-12-23,12月23日晚间重要行业研究汇总,天然橡胶网
536,2020-12-23,2021年电力设备及工业控制行业投资策略：电气设备迎来数字化、智能化时代,新浪
537,2020-12-23,20亿资金猛攻光伏ETF，正向强化板块再创新高,Wind
538,2020-12-21,正泰电器成立一智能公司，经营范围含半导体照明器件等,企查查
539,2020-12-21,技术赋能企业未来，正泰与辽泰电气达成战略合作,工业电器网
540,2020-12-17,正泰电器喜获中国机械工业科学技术奖,工业电器网
541,2020-12-17,盘前情报丨新冠疫苗大批量生产在即，华为鸿蒙2.0传来重磅消息，这些概念股值得关注,21世纪经济报道
542,2020-12-16,中控技术上市以来市值突破520亿,21世纪经济报道
543,2020-12-15,2021年度工控&电网策略报告：国产化进程加速 聚焦高成长个股,新浪
544,2020-12-14,【安信电新】低压电器：行业需求有望超10%，龙头企业加速国产替代,电新邓永康团队
545,2020-12-14,正泰电器全产业链优势凸显净利五连增 上市10年现金分红17次累计派利104亿,长江商报
546,2020-12-11,融资客看好10股 买入占成交超三成,证券之星
547,2020-12-11,正泰电器成立销售新公司，注册资本1亿元,企查查
548,2020-12-09,估值约1.16亿元 正泰电器拟参与竞拍国网浙江综合能源服务公司5%股权,北极星电力
549,2020-12-09,股海导航 12月9日沪深股市公告提示,新浪
550,2020-12-09,12月9日操盘必读：影响股市利好与利空消息,新浪
551,2020-12-08,正泰电器：拟参与竞拍国网浙江综合能源20%股权,乐居财经
552,2020-12-08,晚间公告｜12月8日这些公告有看头,第一财经
553,2020-12-08,正泰电器:转让上海电科100%股权给正泰集团 资产异常,乐居财经
554,2020-12-08,正泰电器(601877.SH)为集中资源发展主业拟转让子公司上海电科100%股权 资产异常,智通财经
555,2020-12-08,12月8日上市公司晚间公告速递,新浪
556,2020-12-08,正泰电器(601877.SH)：拟向交通银行申请不超20亿元综合授信,格隆汇
557,2020-12-08,正泰电器：出售子公司股权 资产异常,Wind
558,2020-12-08,正泰电器(601877.SH)：拟参与竞拍国网浙江综合能源服务有限公司5%股权,格隆汇
559,2020-12-08,正泰电器(601877.SH)拟向控股股东转让上海电科100%股权 减持股份,格隆汇
560,2020-12-07,电力设备及新能源行业周报：光伏龙头长单密集落地 电堆降价潮指明降本路径,新浪
561,2020-12-07,正泰电器:正泰集团可交债已全部换股并摘牌,乐居财经
562,2020-12-07,正泰电器(601877.SH)：控股股东可交债摘牌并解除剩余股份质押,格隆汇
563,2020-12-04,公用事业-电力电气设备行业：碳中和 离我们还有多远,新浪
564,2020-12-01,2021年公用事业新能源：多能互补 开启碳中和征程,新浪
565,2020-11-30,电力设备及新能源行业周报：光伏尺寸标准化助力平价 燃料电池关注度提升,新浪
566,2020-11-29,深度*行业*光伏行业2021年度策略：需求景气无忧 HJT如日方升,新浪
567,2020-11-27,A股第一只光伏ETF要来了 值不值得投？,华宝证券
568,2020-11-26,北向资金半日流入40亿：白酒股资金分化 电力股获加仓,新浪
569,2020-11-26,电力板块大涨，11月用电增速有望增长，细分领域如何布局,第一财经
570,2020-11-24,首只光伏ETF：把握产业链长期高成长带来的投资机遇,华宝财富魔方
571,2020-11-23,电力设备及新能源行业周报：光伏龙头联合强化一体化布局 巨轮航定行稳致远,新浪
572,2020-11-23,A股共发生96宗大宗交易成交23.27亿元（11月23日）,Wind
573,2020-11-23,电力电气设备、公用事业：发电行业碳配额全国统一方案发布 鼓励清洁发电收紧煤电配额,新浪
574,2020-11-23,正泰电器今日大宗交易成交180.41万股，成交价30.9元折价4.66%,Wind
575,2020-11-23,"正泰电器现5笔大宗交易 共成交5,574.78万元",新浪
576,2020-11-16,电力设备及新能源行业周报：广东上海发布氢能规划 燃料电池示范在即,新浪
577,2020-11-12,正泰电器大宗交易成交额3097万元,证券时报网
578,2020-11-12,"正泰电器现1笔大宗交易 共成交3,097.00万元",新浪
579,2020-11-11,正泰电器现1笔大宗交易 共成交929.10万元,新浪
580,2020-11-11,电力设备新能源周观察：光伏需求持续向好 电动车销量将超预期,新浪
581,2020-11-10,正泰电器：控股股东可交换公司债券换股导致持股比例由55.05%下降至54.05%,Wind
582,2020-11-10,正泰电器(601877.SH)：控股股东及其一致行动人持股比例降至54.05%,格隆汇
583,2020-11-10,电力电气设备行业-3Q持仓及陆港通分析：资金大幅流入 电池工控受到青睐,新浪
584,2020-11-10,正泰电器(601877)：低压电器+光伏协同发展 业绩稳健增长,国联证券
585,2020-11-09,电力设备及新能源行业周报：光伏全面放开容配比 特高压直流再获核准,新浪
586,2020-11-09,电力设备及新能源行业2020年三季度总结：“新新”向荣,新浪
587,2020-11-06,中国电研：持股9.64%股东正泰电器拟减持公司股份不超过809万股 拟减持股份,资本邦
588,2020-11-06,上市公司正负面新闻2020年11月6日星期五,Wind
589,2020-11-05,晚间重要公告2020年11月5日星期四,Wind
590,2020-11-05,中国电研(688128.SH)主要股东正泰电器拟减持不超809万股 拟减持股份,智通财经
591,2020-11-05,中国电研：正泰电器拟减持不超2%股份 拟减持股份,Wind
592,2020-11-04,正泰电器(601877)：业绩稳健增长 低压业务受益于行业高景气度,新浪
593,2020-11-04,正泰电器(601877)：低压电器直销业务亮眼 光伏稳步推进,广发证券
594,2020-11-04,正泰电器(601877)：业绩符合申万宏源预期 光伏电站装机提升,新浪
595,2020-11-04,【电新*曾朵红】深度：工控&电力设备行业2020三季报总结——Q3加速增长，工控大超预期,东吴研究所
596,2020-11-02,正泰电器(601877.SH)：王国荣因工作调整原因辞去公司副总裁职务 董监高成员变化,格隆汇
597,2020-11-02,正泰电器董事、副总裁王国荣辞职 董监高成员变化,中国经济网
598,2020-11-02,正泰电器：王国荣离任副总裁 董监高成员变化,乐居财经
599,2020-11-02,正泰电器：高级管理人员辞职 董监高成员变化,Wind
600,2020-11-02,社保基金最新持仓动向：狂买周期股，减持医药科技,第一财经
601,2020-11-02,电力设备及新能源行业周报：光伏辅材涨价持续超预期 政策加码充换电建设运营,新浪
602,2020-10-30,正泰电器(601877)2020年三季报点评：业绩符合预期 单季加速改善,新浪
603,2020-10-30,正泰电器：今年前三季度营业收入同比增3.43%至232.47亿元,资本邦
604,2020-10-30,正泰电器：前三季度营收净利润双增长 低压、光伏业务稳中求进,中证网
605,2020-10-29,正泰电器低压、光伏业务稳健发展,上证报
606,2020-10-29,正泰电器前三季业绩增长6.42% 社保基金增持,上证报
607,2020-10-29,电气设备行业月度报告：合理利用小时数确定，光伏玻璃及硅料产能趋紧，维持“领先大市”评级,财信证券
608,2020-10-29,正泰电器(601877.SH)前三季度净利润升6.42%至30.48亿元,格隆汇
609,2020-10-29,正泰电器：前三季度净利润同比增长6.42%,Wind
610,2020-10-29,电气设备行业月度报告（2020年10月）：合理利用小时数确定，光伏玻璃及硅料产能趋紧,财信证券研究
611,2020-10-27,电力设备及新能源行业周报：全生命周期小时数补贴出台 六部委再议剥离国网制造装备业务,新浪
612,2020-10-27,智能终端+正泰云平台，让配电网更“聪明”,和讯
613,2020-10-26,电力设备新能源周观察：光伏玻璃价格持续上涨 电动车Q4延续高增长,新浪
614,2020-10-22,电力设备行业点评：施耐德发布20年三季报 能效管理业务中国区两位数增长,新浪
615,2020-10-22,比亚迪与正泰跨界合作 优势互补“玩转”新能源,经济网
616,2020-10-22,比亚迪与正泰开启合作 携手谱写新能源篇章,金融界
617,2020-10-21,能辉科技尚存未结案重大诉讼，大客户占比超9成，抗风险能力弱 诉讼纠纷,时代在线
618,2020-10-21,电力电气设备、公用事业行业：合理利用小时政策靴子落地 可再生能源补贴缺口总量收口,新浪
619,2020-10-19,电力设备及新能源行业周报：看好受益“两新一重”标的 风电迎预期改善,新浪
620,2020-10-18,电气设备行业周报：如何看待9月国内产销超预期,新浪
621,2020-10-17,创新进“晋” 续写荣耀|正泰亮相行业峰会助力山西能源改革,北极星电力
622,2020-10-16,正泰电器(601877)：低压龙头的户用光伏新篇章,新浪
623,2020-10-13,正泰电器：大丰市拿地是用于高效光伏电池与高效光伏组件,Wind
624,2020-10-13,正泰电器：2019年公司光伏业务营业收入约119亿元,格隆汇
625,2020-10-12,电力设备及新能源行业周报：国网展望“十四五”电网投资 塑造能源互联网产业链,新浪
626,2020-10-12,打造数字化转型标杆！正泰电器入选高质量发展创新案例,工业电器网
627,2020-10-09,【研报掘金】假期海外光伏龙头大涨 板块价值重估或开启新一轮“泡沫化”行情,证券时报网
628,2020-09-28,光伏的投资逻辑和价值,新浪
629,2020-09-28,CDCC专家组深度参观考察正泰,北极星电力
630,2020-09-27,电力电气设备：玻璃吹响旺季号角 逆变器竞争结构性机会,新浪
631,2020-09-27,电气设备新能源行业周报：中欧两国携手倡导绿色发展 光伏电动车双双利好,新浪
632,2020-09-24,电气设备行业月度报告：十四五预期升温，产业链价格企稳，给予“领先大市”评级,财信证券
633,2020-09-20,电气设备行业周报：时代使命、大国担当 新能源宏图加码,新浪
634,2020-09-18,正泰电器发布2020年半年度报告,北极星电力
635,2020-09-15,【中银电新】新能源发电：“十四五”装机或迎广阔空间,老成之见
636,2020-09-14,主动量化周报：这不是一次简单的回调,新浪
637,2020-09-11,北上资金和融资客大手笔加仓股仅14只,证券时报网
638,2020-09-06,电气设备行业周报：欧洲新能源车销量高增 光伏玻璃需求持续向好,新浪
639,2020-09-04,电力设备及新能源行业2020年中报业绩总结：增长韧性凸显 格局加速优化,新浪
640,2020-09-04,光伏企业哪家强？86家上市公司85%业绩飘红,北极星电力
641,2020-09-04,折戟主板“旧病未除”再闯创业板 能辉科技大客户营收占比仍超90%,投资者网
642,2020-09-03,1H20业绩回顾&下半年行业动态前瞻：工控篇,新浪
643,2020-08-29,正泰电器(601877)：Q2业绩显著回暖 持续提升核心竞争力,新浪
644,2020-08-28,正泰电器(601877)：Q2单季高增 龙头韧性强劲,新浪
645,2020-08-28,正泰电器(601877)2020年中报点评：业绩符合预期 景气度望加速恢复,新浪
646,2020-08-28,正泰电器(601877)半年报点评：低压业务优势稳固 有望受益于下半年行业高景气度,新浪
647,2020-08-28,物联感知+可靠性技术 | 被“国家队”认可的智能断路器长这样,工业电器网
648,2020-08-27,正泰电器发生大宗交易成交折价率13.51%,证券时报网
649,2020-08-27,正泰电器今日大宗交易成交170万股，成交价29.52元折价13.51%,Wind
650,2020-08-27,正泰电器上半年业绩稳中精进 海外市场实现正增长,上证报
651,2020-08-27,正泰电器(601877.SH)：上半年净利升1.49%至18.11亿元,格隆汇
652,2020-08-27,正泰电器：上半年净利润同比增长1.49%,Wind
653,2020-08-27,A股异动丨正泰电器(601877.SH)创历史新高 明天将发布中期业绩,格隆汇
654,2020-08-26,A股早报2020年8月26日星期三,Wind
655,2020-08-25,A股共发生85宗大宗交易成交23.66亿元（8月25日）,Wind
656,2020-08-24,重要股东增持排行榜：6股增持金额超千万元,证券时报网
657,2020-08-24,电力设备新能源周观察：汽车执行器赛道优质 风电龙头中报高增,新浪
658,2020-08-21,正泰电器大宗交易成交228.59万股成交额6480.53万元,证券时报网
659,2020-08-19,正泰电器(601877.SH)：控股股东及其一致行动人合计持股由60.06%降至55.05%,格隆汇
660,2020-08-19,正泰电器(601877.SH)：三董事、高管增持完毕合计增持105万股,格隆汇
661,2020-08-18,"正泰电器现6笔大宗交易 共成交6,496.98万元",新浪
662,2020-08-17,ZJBENY｜技术创新是奔一发展的基石——奔一荣获阳光电源和正泰电源2019年度技术创新奖,北极星电力
663,2020-08-17,正泰电器产品价格调整,格隆汇
664,2020-08-11,电力设备行业：光伏产业链涨价持续 V字之后欧洲电车持续向好,新浪
665,2020-08-06,正泰电器设计员伙同同事受贿40余万 3名当事人均获刑 其他违规处罚,中国经济网
666,2020-08-06,两融透析：大盘继续活跃　正泰电器融资盘小幅流入,财富动力网
667,2020-08-03,7月金股组合盈利17.26% 8月荐股名单出炉,新浪
668,2020-08-03,正泰电器两员工让步接受供应商瑕疵商品 收40万元好处费,新浪
669,2020-08-03,电车七月产销同比首次上升，低压电器提价显景气需求【安信电新周观察20200817】,电新邓永康团队
670,2020-08-01,股价创历史新高股一览,证券时报网
671,2020-07-31,【东吴电新】正泰电器中报点评：Q2单季高增，龙头韧性强劲,新兴产业汇
672,2020-07-31,正泰电器大涨5.14%，成交1.13亿元,中新经纬
673,2020-07-30,"正泰电器现1笔大宗交易 共成交1,181.80万元",新浪
674,2020-07-30,正泰电器盘中创历史新高,证券时报网
675,2020-07-27,中证指数公司：8月6日发布中证兴业证券ESG盈利100指数,Wind
676,2020-07-27,正泰电器西部渠道建设再添新成果,中国机经网
677,2020-07-26,电气设备新能源行业周报：光伏全产业链涨价 电动车众多新车上市,新浪
678,2020-07-26,浙江：正泰斩获国外市场亿元大单，国内市场发力能效板块,Wind
679,2020-07-22,伟思医疗(688580)：新型康复器械前景广阔 国产龙头快速成长,西南证券
680,2020-07-21,券商首次关注13股并给予买入评级（7月21日）,Wind
681,2020-07-20,正泰电器(601877)首次覆盖报告：正身立本 风至泰来,新浪
682,2020-07-20,工控&电力设备行业2020年中期投资策略：工控龙头乘风破浪 电力设备盈利改善,新浪
683,2020-07-19,电气设备行业周报：电动车热管理赛道清晰 光伏组件报价止跌回升,新浪
684,2020-07-17,电气设备光伏行业复盘深度报告：技术迭代成本下降 全球共振演绎成长,新浪
685,2020-07-10,光伏产业研究系列报告(8)：系统-双玻正当时 跟踪随风起 高效大时代,新浪
686,2020-07-07,一处长索贿又诈骗 正泰电器旗下控股公司被坑60万元 欺诈造假,中国经济网
687,2020-07-07,一人犯受贿罪与诈骗罪被判刑！被告人多次索要财物，正泰电器旗下控股公司起初给予10万后还被诈骗50万元 其他违规处罚,和讯
688,2020-07-06,藏内基建发力 正泰“电气之花”绽放天路,中国机经网
689,2020-07-03,正泰电器(601877.SH)拟向银行申请综合授信,格隆汇
690,2020-07-02,正泰电器(601877.SH)：“17正集EB”换股价调至28.8元/股,格隆汇
691,2020-06-29,电气设备新能源行业周报：光伏竞价项目超预期 特斯拉Q2销量超预期,新浪
692,2020-06-29,电力设备&工控行业2020中期策略：紧跟电网新基建增量 布局工控复苏渗透,广发证券
693,2020-06-28,电气设备行业周报：光伏淡季不淡得印证,新浪
694,2020-06-28,独家 | 正泰电器及通威股份未竞购，TCL科技拟购中环集团股权解密,和讯
695,2020-06-28,558亿，20多家光伏公司一季度盈利且谁家表现更好？,和讯
696,2020-06-23,债券重大事件2020年6月23日星期二,Wind
697,2020-06-23,正泰集团：“17正集EB”停牌及暂停换股 发行人申请债券停牌,Wind
698,2020-06-22,正泰新华科技强势发布自主研发新成果,中国机经网
699,2020-06-19,“股王”分红，幸福满满！还有这些公司股权登记,Wind
700,2020-06-15,电力行业如何高质量发展？正泰电器这场会议来支招,工业电器网
701,2020-06-14,名校副校长出狱后再成创业明星！旗下公司冲刺科创板,中国基金报
702,2020-06-08,电气设备新能源行业周报：欧州电动车政策持续超预期 国内锂电中游排产逐步恢复,新浪
703,2020-06-01,电气设备新能源行业周报：欧州电动车政策超预期 光伏扩产标准趋严,新浪
704,2020-05-26,全国政协委员、正泰电器董事长南存辉：加强工业互联网平台建设 瞄准趋势实现转型,中证报
705,2020-05-21,电气设备行业：国家电网2020年风电 光伏发电新增消纳能力点评：国网消纳空间落地 国内风电、光伏装机有望超预期,新浪
706,2020-05-21,全国政协委员、正泰电器董事长南存辉：支持培育新能源技术创新 助益全球绿色增长,中证网
707,2020-05-18,5月18日有64家公司获重要股东增减持 光环新网已被连续减持20次 减持股份,Wind
708,2020-05-18,抢抓机遇、乘势发展，正泰电器这场会议传递什么信号？,工业电器网
709,2020-05-13,智能化、数字化 让正泰电器从“制造”走向了“智造”,浙商网
710,2020-05-11,正泰电器(601877.SH)：2020年员工持股计划账户持公司股份1780万股,格隆汇
711,2020-05-08,正泰新能源去年收入120.5亿 出货3.73GW且2年内上扬77%,北极星电力
712,2020-05-07,正泰电器：疫情影响一季度业绩，全年有望实现稳健增长,电新产业研究
713,2020-05-07,"正泰电器""靓丽""数据背后：多数产品毛利率均下滑，手握近60亿资金却大量举债长期借款高达92亿 盈利能力下降",和讯
714,2020-05-07,正泰电器2019年：营收增10.23%净利增4.74% 海内外市场取得新突破,中国机经网
715,2020-04-30,正泰电器2019年营收稳健增长 海内外市场取得新突破,中证网
716,2020-04-30,正泰电器2019年报：实现净利润 39.71 亿元， 同比增长 5.55%,集邦新能源网
717,2020-04-30,正泰电器：短期业绩增速承压 双主业驱动韧性强 盈利能力下降,北极星电力
718,2020-04-29,正泰电器（601877）：短期业绩增速承压，双主业驱动韧性强 盈利能力下降,CITICS电新
719,2020-04-29,鹰眼预警：正泰电器业绩增速放缓 现金流净流出 盈利能力下降,新浪
720,2020-04-29,正泰电器：一季度净利润同比减少36.93% 盈利能力下降,Wind
721,2020-04-29,正泰电器(601877.SH)一季度净利润降36.93%至3.42亿元 盈利能力下降,格隆汇
722,2020-04-29,正泰电器：2020年Q1光伏电站经营数据,北极星电力
723,2020-04-28,正泰电器：2019年实现营业收入302亿元 现金流净额同比增长72.38%,中证网
724,2020-04-28,正泰电器2019年现金流净额大增,上证报
725,2020-04-28,正泰电器：一季度净利润同比减少40.22% 盈利能力下降,Wind
726,2020-04-28,正泰电器：预计新增担保额度不超过90亿元 大额借贷担保,Wind
727,2020-04-28,正泰电器(601877.SH)2019年度净利润升4.74%至37.62亿元拟10派5元,格隆汇
728,2020-04-28,正泰电器：2019年净利润同比增长4.74%,Wind
729,2020-04-27,正泰电器上榜“浙江省创造力百强企业”,工业电器网
730,2020-04-16,正泰“玩法”引发行业思考：民营企业产业链优势到底在哪里?,中国能源报
731,2020-04-16,电站交易频繁，光伏企业纷纷甩卖电站,集邦新能源网
732,2020-04-14,中控技术科创板IPO进入“已问询” 背靠中石化、英特尔、正泰电器,资本邦
733,2020-04-14,巨星仇建平出清中控信息 正泰南存辉加码资本版图,时代在线
734,2020-04-13,山西公布产品抽查 正泰电器2个型号交流接触器不合格 产品问题,中国经济网
735,2020-04-08,公告点题｜4月8日这些公告有看头,第一财经
736,2020-04-08,巨星科技：拟1.77亿元转让中控信息11%股权予正泰电器 资产异常,e公司
737,2020-04-08,巨星科技：将持有的中控信息11.05%股权转让给正泰电器 资产异常,Wind
738,2020-04-08,巨星科技(002444.SZ)：拟转让中控信息11.05%股权予正泰电器 资产异常,格隆汇
739,2020-04-08,正泰电器(601877.SH)：拟约1.77亿元受让受让中控信息11.05%的股权,格隆汇
740,2020-03-30,正泰电器NSD1伺服系统中标日发纺机,中国纺织报
741,2020-03-26,26日公司新闻聚焦:美的集团间接控股合康新能 中海油服净利增34倍,证券时报网
